date,value
2021-01,1363.0
2021-02,1388.0
2021-03,1589.0
2021-04,1083.0
2021-05,1085.0
2021-06,1823.0
2021-07,6975.0
2021-08,11960.0
2021-09,11046.0
2021-10,7489.0
2021-11,6718.0
2021-12,3894.0
2022-01,3175.0
2022-02,2731.0
2022-03,2461.0
2022-04,2606.0
2022-05,2919.0
2022-06,4855.0
2022-07,6593.0
2022-08,10298.0
2022-09,26362.0
2022-10,38543.0
2022-11,42847.0
2022-12,9266.0
2023-01,4964.0
2023-02,6628.0
2023-03,7137.0
2023-04,4528.0
2023-05,8951.0
2023-06,12611.0
2023-07,54030.0
2023-08,58043.0
2023-09,121340.0
2023-10,53188.0
2023-11,43272.0
2023-12,10386.0
2024-01,7980.0
2024-02,7330.0
2024-03,7027.0
2024-04,4780.0
2024-05,6662.0
2024-06,6199.0
2024-07,7255.0
2024-08,7237.0
2024-09,12303.0
2024-10,17250.0
2024-11,14294.0
2024-12,7161.0
2025-01,5958.0
2025-02,3090.0
2025-03,2655.0
2025-04,1926.0
2025-05,3239.0
2025-06,3140.0
2025-07,4115.0
2025-08,4034.0
2025-09,3891.0
2025-10,3759.0
2025-11,3660.0
2025-12,1965.0
2026-01,1018.0
2026-02,917.0
2026-03,41.0
