date,value
2021-01,5049.0
2021-02,4261.0
2021-03,5030.0
2021-04,4787.0
2021-05,3370.0
2021-06,4406.0
2021-07,6151.0
2021-08,14369.0
2021-09,32752.0
2021-10,46894.0
2021-11,21091.0
2021-12,7603.0
2022-01,4315.0
2022-02,3533.0
2022-03,4016.0
2022-04,4176.0
2022-05,2705.0
2022-06,4265.0
2022-07,5439.0
2022-08,7851.0
2022-09,17008.0
2022-10,26293.0
2022-11,22574.0
2022-12,5801.0
2023-01,4248.0
2023-02,3928.0
2023-03,3354.0
2023-04,2304.0
2023-05,3446.0
2023-06,2830.0
2023-07,4472.0
2023-08,9138.0
2023-09,11461.0
2023-10,13651.0
2023-11,6083.0
2023-12,3817.0
2024-01,2419.0
2024-02,2495.0
2024-03,1752.0
2024-04,1355.0
2024-05,1275.0
2024-06,917.0
2024-07,1480.0
2024-08,1277.0
2024-09,1731.0
2024-10,1566.0
2024-11,1178.0
2024-12,721.0
2025-01,723.0
2025-02,695.0
2025-03,705.0
2025-04,702.0
2025-05,764.0
2025-06,700.0
2025-07,706.0
2025-08,1082.0
2025-09,1089.0
2025-10,789.0
2025-11,568.0
2025-12,441.0
2026-01,359.0
2026-02,311.0
2026-03,11.0
