date,value
2021-01,424.0
2021-02,1374.0
2021-03,753.0
2021-04,214.0
2021-05,303.0
2021-06,357.0
2021-07,463.0
2021-08,453.0
2021-09,690.0
2021-10,490.0
2021-11,368.0
2021-12,444.0
2022-01,410.0
2022-02,336.0
2022-03,245.0
2022-04,210.0
2022-05,628.0
2022-06,608.0
2022-07,1193.0
2022-08,798.0
2022-09,695.0
2022-10,488.0
2022-11,369.0
2022-12,335.0
2023-01,324.0
2023-02,709.0
2023-03,523.0
2023-04,376.0
2023-05,553.0
2023-06,394.0
2023-07,819.0
2023-08,1001.0
2023-09,922.0
2023-10,708.0
2023-11,993.0
2023-12,656.0
2024-01,457.0
2024-02,402.0
2024-03,320.0
2024-04,327.0
2024-05,617.0
2024-06,1678.0
2024-07,7158.0
2024-08,1342.0
2024-09,783.0
2024-10,384.0
2024-11,310.0
2024-12,302.0
2025-01,217.0
2025-02,200.0
2025-03,195.0
2025-04,231.0
2025-05,428.0
2025-06,615.0
2025-07,257.0
2025-08,283.0
2025-09,196.0
2025-10,125.0
2025-11,143.0
2025-12,265.0
2026-01,124.0
2026-02,140.0
2026-03,7.0
