date,value
2021-01,2400.0
2021-02,1576.0
2021-03,1544.0
2021-04,1489.0
2021-05,3366.0
2021-06,4406.0
2021-07,3425.0
2021-08,1753.0
2021-09,2036.0
2021-10,2152.0
2021-11,2132.0
2021-12,1838.0
2022-01,1493.0
2022-02,1080.0
2022-03,1264.0
2022-04,1399.0
2022-05,3149.0
2022-06,3882.0
2022-07,4630.0
2022-08,7253.0
2022-09,2233.0
2022-10,2866.0
2022-11,2538.0
2022-12,1974.0
2023-01,1810.0
2023-02,1674.0
2023-03,1619.0
2023-04,1425.0
2023-05,3509.0
2023-06,10490.0
2023-07,7366.0
2023-08,5381.0
2023-09,5397.0
2023-10,5217.0
2023-11,4483.0
2023-12,3387.0
2024-01,4000.0
2024-02,3091.0
2024-03,2605.0
2024-04,2151.0
2024-05,4407.0
2024-06,5598.0
2024-07,8554.0
2024-08,4780.0
2024-09,2801.0
2024-10,2180.0
2024-11,1415.0
2024-12,1125.0
2025-01,1460.0
2025-02,1041.0
2025-03,839.0
2025-04,744.0
2025-05,2616.0
2025-06,1985.0
2025-07,1274.0
2025-08,2973.0
2025-09,616.0
2025-10,449.0
2025-11,468.0
2025-12,420.0
2026-01,363.0
2026-02,284.0
2026-03,13.0
