date,value
2021-01,1432.0
2021-02,1421.0
2021-03,1264.0
2021-04,1078.0
2021-05,1144.0
2021-06,1849.0
2021-07,3904.0
2021-08,5547.0
2021-09,5001.0
2021-10,3743.0
2021-11,2140.0
2021-12,1487.0
2022-01,1241.0
2022-02,1000.0
2022-03,1113.0
2022-04,902.0
2022-05,1020.0
2022-06,1805.0
2022-07,3547.0
2022-08,4285.0
2022-09,5691.0
2022-10,5448.0
2022-11,4244.0
2022-12,2209.0
2023-01,1840.0
2023-02,1853.0
2023-03,1770.0
2023-04,1027.0
2023-05,1383.0
2023-06,2010.0
2023-07,4369.0
2023-08,6094.0
2023-09,7673.0
2023-10,8546.0
2023-11,4616.0
2023-12,2675.0
2024-01,1670.0
2024-02,1147.0
2024-03,1342.0
2024-04,908.0
2024-05,1046.0
2024-06,1577.0
2024-07,3535.0
2024-08,4234.0
2024-09,3500.0
2024-10,1947.0
2024-11,1198.0
2024-12,790.0
2025-01,676.0
2025-02,566.0
2025-03,487.0
2025-04,649.0
2025-05,550.0
2025-06,620.0
2025-07,853.0
2025-08,984.0
2025-09,689.0
2025-10,560.0
2025-11,282.0
2025-12,280.0
2026-01,176.0
2026-02,163.0
2026-03,12.0
