date,value
2021-01,114.0
2021-02,80.0
2021-03,109.0
2021-04,149.0
2021-05,179.0
2021-06,168.0
2021-07,431.0
2021-08,1538.0
2021-09,3558.0
2021-10,2088.0
2021-11,1172.0
2021-12,893.0
2022-01,610.0
2022-02,349.0
2022-03,504.0
2022-04,488.0
2022-05,451.0
2022-06,565.0
2022-07,2166.0
2022-08,3524.0
2022-09,5136.0
2022-10,2952.0
2022-11,2220.0
2022-12,1230.0
2023-01,943.0
2023-02,969.0
2023-03,905.0
2023-04,612.0
2023-05,901.0
2023-06,679.0
2023-07,1167.0
2023-08,1994.0
2023-09,3575.0
2023-10,3805.0
2023-11,1492.0
2023-12,920.0
2024-01,864.0
2024-02,869.0
2024-03,922.0
2024-04,740.0
2024-05,536.0
2024-06,536.0
2024-07,1923.0
2024-08,2381.0
2024-09,1726.0
2024-10,912.0
2024-11,581.0
2024-12,433.0
2025-01,377.0
2025-02,248.0
2025-03,250.0
2025-04,267.0
2025-05,398.0
2025-06,441.0
2025-07,438.0
2025-08,627.0
2025-09,563.0
2025-10,339.0
2025-11,237.0
2025-12,250.0
2026-01,219.0
2026-02,145.0
2026-03,7.0
