date,value
2021-01,359.0
2021-02,737.0
2021-03,869.0
2021-04,330.0
2021-05,223.0
2021-06,491.0
2021-07,427.0
2021-08,381.0
2021-09,427.0
2021-10,345.0
2021-11,349.0
2021-12,544.0
2022-01,323.0
2022-02,336.0
2022-03,359.0
2022-04,513.0
2022-05,501.0
2022-06,685.0
2022-07,1033.0
2022-08,789.0
2022-09,676.0
2022-10,613.0
2022-11,519.0
2022-12,428.0
2023-01,348.0
2023-02,624.0
2023-03,411.0
2023-04,281.0
2023-05,477.0
2023-06,430.0
2023-07,1024.0
2023-08,1342.0
2023-09,538.0
2023-10,363.0
2023-11,626.0
2023-12,572.0
2024-01,478.0
2024-02,570.0
2024-03,447.0
2024-04,292.0
2024-05,367.0
2024-06,642.0
2024-07,1133.0
2024-08,486.0
2024-09,384.0
2024-10,340.0
2024-11,198.0
2024-12,307.0
2025-01,349.0
2025-02,200.0
2025-03,218.0
2025-04,204.0
2025-05,333.0
2025-06,394.0
2025-07,217.0
2025-08,280.0
2025-09,254.0
2025-10,231.0
2025-11,182.0
2025-12,246.0
2026-01,240.0
2026-02,204.0
2026-03,11.0
