date,value
2021-01,28.0
2021-02,39.0
2021-03,30.0
2021-04,18.0
2021-05,23.0
2021-06,45.0
2021-07,56.0
2021-08,85.0
2021-09,75.0
2021-10,60.0
2021-11,90.0
2021-12,78.0
2022-01,81.0
2022-02,74.0
2022-03,62.0
2022-04,28.0
2022-05,21.0
2022-06,30.0
2022-07,36.0
2022-08,42.0
2022-09,14.0
2022-10,82.0
2022-11,37.0
2022-12,26.0
2023-01,18.0
2023-02,28.0
2023-03,24.0
2023-04,26.0
2023-05,27.0
2023-06,48.0
2023-07,34.0
2023-08,61.0
2023-09,44.0
2023-10,32.0
2023-11,20.0
2023-12,43.0
2024-01,63.0
2024-02,44.0
2024-03,50.0
2024-04,30.0
2024-05,49.0
2024-06,52.0
2024-07,52.0
2024-08,69.0
2024-09,32.0
2024-10,38.0
2024-11,37.0
2024-12,26.0
2025-01,66.0
2025-02,59.0
2025-03,52.0
2025-04,45.0
2025-05,68.0
2025-06,56.0
2025-07,57.0
2025-08,66.0
2025-09,41.0
2025-10,42.0
2025-11,26.0
2025-12,23.0
2026-01,16.0
2026-02,22.0
2026-03,1.0
