date,value
2021-01,350.0
2021-02,439.0
2021-03,458.0
2021-04,361.0
2021-05,355.0
2021-06,333.0
2021-07,617.0
2021-08,527.0
2021-09,565.0
2021-10,698.0
2021-11,569.0
2021-12,490.0
2022-01,442.0
2022-02,420.0
2022-03,470.0
2022-04,515.0
2022-05,407.0
2022-06,491.0
2022-07,885.0
2022-08,702.0
2022-09,1063.0
2022-10,772.0
2022-11,732.0
2022-12,500.0
2023-01,456.0
2023-02,512.0
2023-03,526.0
2023-04,412.0
2023-05,370.0
2023-06,342.0
2023-07,755.0
2023-08,864.0
2023-09,546.0
2023-10,715.0
2023-11,592.0
2023-12,785.0
2024-01,411.0
2024-02,548.0
2024-03,629.0
2024-04,350.0
2024-05,260.0
2024-06,255.0
2024-07,640.0
2024-08,798.0
2024-09,567.0
2024-10,504.0
2024-11,271.0
2024-12,262.0
2025-01,249.0
2025-02,228.0
2025-03,280.0
2025-04,198.0
2025-05,183.0
2025-06,379.0
2025-07,429.0
2025-08,478.0
2025-09,471.0
2025-10,379.0
2025-11,376.0
2025-12,476.0
2026-01,284.0
2026-02,310.0
2026-03,5.0
