date,value
2021-01,955.0
2021-02,1069.0
2021-03,1028.0
2021-04,788.0
2021-05,813.0
2021-06,1091.0
2021-07,1022.0
2021-08,1042.0
2021-09,1043.0
2021-10,1071.0
2021-11,1419.0
2021-12,1239.0
2022-01,1251.0
2022-02,1033.0
2022-03,1523.0
2022-04,822.0
2022-05,1103.0
2022-06,811.0
2022-07,1122.0
2022-08,1351.0
2022-09,1586.0
2022-10,1780.0
2022-11,2259.0
2022-12,1469.0
2023-01,1531.0
2023-02,1556.0
2023-03,1711.0
2023-04,1083.0
2023-05,1222.0
2023-06,1045.0
2023-07,1514.0
2023-08,1324.0
2023-09,1651.0
2023-10,1751.0
2023-11,1866.0
2023-12,1920.0
2024-01,1631.0
2024-02,1389.0
2024-03,1306.0
2024-04,893.0
2024-05,741.0
2024-06,763.0
2024-07,1086.0
2024-08,1182.0
2024-09,792.0
2024-10,917.0
2024-11,902.0
2024-12,844.0
2025-01,762.0
2025-02,658.0
2025-03,638.0
2025-04,431.0
2025-05,493.0
2025-06,366.0
2025-07,388.0
2025-08,504.0
2025-09,504.0
2025-10,478.0
2025-11,474.0
2025-12,385.0
2026-01,412.0
2026-02,335.0
2026-03,15.0
