date,value
2021-01,9
2021-02,10
2021-03,12
2021-04,14
2021-05,12
2021-06,14
2021-07,20
2021-08,36
2021-09,58
2021-10,80
2021-11,58
2021-12,28
2022-01,23
2022-02,15
2022-03,13
2022-04,12
2022-05,14
2022-06,19
2022-07,27
2022-08,39
2022-09,56
2022-10,66
2022-11,57
2022-12,24
2023-01,18
2023-02,19
2023-03,16
2023-04,14
2023-05,13
2023-06,28
2023-07,39
2023-08,68
2023-09,98
2023-10,100
2023-11,56
2023-12,28
2024-01,20
2024-02,16
2024-03,13
2024-04,12
2024-05,14
2024-06,24
2024-07,54
2024-08,61
2024-09,64
2024-10,54
2024-11,32
2024-12,17
2025-01,13
2025-02,10
2025-03,10
2025-04,8
2025-05,9
2025-06,13
2025-07,18
2025-08,24
2025-09,23
2025-10,20
2025-11,17
2025-12,9
2026-01,8
2026-02,8
