date,value
2021-01,29
2021-02,31
2021-03,27
2021-04,29
2021-05,44
2021-06,37
2021-07,59
2021-08,55
2021-09,84
2021-10,100
2021-11,62
2021-12,34
2022-01,47
2022-02,42
2022-03,37
2022-04,25
2022-05,27
2022-06,33
2022-07,35
2022-08,38
2022-09,57
2022-10,56
2022-11,59
2022-12,34
2023-01,26
2023-02,36
2023-03,31
2023-04,24
2023-05,32
2023-06,32
2023-07,40
2023-08,62
2023-09,87
2023-10,80
2023-11,55
2023-12,32
2024-01,30
2024-02,32
2024-03,26
2024-04,26
2024-05,37
2024-06,37
2024-07,66
2024-08,73
2024-09,56
2024-10,50
2024-11,52
2024-12,32
2025-01,29
2025-02,26
2025-03,29
2025-04,32
2025-05,32
2025-06,26
2025-07,41
2025-08,40
2025-09,35
2025-10,29
2025-11,36
2025-12,34
2026-01,29
2026-02,32
