Month,Total_Views
2021-01,1195
2021-02,1241
2021-03,1431
2021-04,955
2021-05,917
2021-06,1636
2021-07,6685
2021-08,11498
2021-09,10608
2021-10,7192
2021-11,6523
2021-12,3681
2022-01,2954
2022-02,2496
2022-03,2244
2022-04,2370
2022-05,2655
2022-06,4558
2022-07,6034
2022-08,9169
2022-09,21779
2022-10,31434
2022-11,32960
2022-12,8432
2023-01,4275
2023-02,5421
2023-03,5787
2023-04,3959
2023-05,7530
2023-06,9859
2023-07,40096
2023-08,47400
2023-09,107418
2023-10,46509
2023-11,36544
2023-12,8202
2024-01,6179
2024-02,5690
2024-03,5104
2024-04,3345
2024-05,5419
2024-06,5167
2024-07,6052
2024-08,6676
2024-09,11583
2024-10,15844
2024-11,13647
2024-12,6451
2025-01,5103
2025-02,2543
2025-03,2151
2025-04,1416
2025-05,2129
2025-06,2095
2025-07,3175
2025-08,3041
2025-09,2202
2025-10,2408
2025-11,1825
2025-12,797
