Month,Total_Views
2021-01,128
2021-02,165
2021-03,242
2021-04,202
2021-05,124
2021-06,144
2021-07,569
2021-08,1263
2021-09,1875
2021-10,2101
2021-11,1214
2021-12,744
2022-01,491
2022-02,335
2022-03,329
2022-04,844
2022-05,434
2022-06,753
2022-07,1835
2022-08,1203
2022-09,1883
2022-10,1676
2022-11,1449
2022-12,726
2023-01,518
2023-02,602
2023-03,520
2023-04,309
2023-05,421
2023-06,459
2023-07,1744
2023-08,1510
2023-09,1886
2023-10,1704
2023-11,799
2023-12,479
2024-01,417
2024-02,386
2024-03,449
2024-04,428
2024-05,377
2024-06,308
2024-07,808
2024-08,922
2024-09,1292
2024-10,889
2024-11,508
2024-12,216
2025-01,211
2025-02,213
2025-03,314
2025-04,147
2025-05,148
2025-06,190
2025-07,544
2025-08,498
2025-09,202
2025-10,73
2025-11,83
2025-12,53
