Month,Total_Views
2021-01,359
2021-02,1311
2021-03,691
2021-04,177
2021-05,240
2021-06,295
2021-07,380
2021-08,372
2021-09,582
2021-10,391
2021-11,278
2021-12,348
2022-01,313
2022-02,261
2022-03,179
2022-04,145
2022-05,554
2022-06,483
2022-07,1070
2022-08,698
2022-09,567
2022-10,374
2022-11,296
2022-12,234
2023-01,226
2023-02,552
2023-03,333
2023-04,191
2023-05,399
2023-06,258
2023-07,630
2023-08,828
2023-09,734
2023-10,530
2023-11,794
2023-12,512
2024-01,311
2024-02,284
2024-03,213
2024-04,209
2024-05,452
2024-06,1367
2024-07,6596
2024-08,1161
2024-09,659
2024-10,285
2024-11,209
2024-12,172
