Month,Total_Views
2021-01,2235
2021-02,1453
2021-03,1428
2021-04,1385
2021-05,3233
2021-06,4238
2021-07,3250
2021-08,1615
2021-09,1891
2021-10,2010
2021-11,1995
2021-12,1690
2022-01,1330
2022-02,925
2022-03,1097
2022-04,1249
2022-05,2948
2022-06,3657
2022-07,4378
2022-08,7084
2022-09,2012
2022-10,2723
2022-11,2378
2022-12,1808
2023-01,1652
2023-02,1499
2023-03,1439
2023-04,1162
2023-05,3217
2023-06,9966
2023-07,6935
2023-08,5070
2023-09,5038
2023-10,4870
2023-11,4186
2023-12,3168
2024-01,3706
2024-02,2890
2024-03,2390
2024-04,1961
2024-05,4050
2024-06,5156
2024-07,8007
2024-08,4489
2024-09,2627
2024-10,2024
2024-11,1285
2024-12,1016
2025-01,1338
2025-02,923
2025-03,715
2025-04,619
2025-05,2320
2025-06,1794
2025-07,1152
2025-08,2819
2025-09,453
2025-10,350
2025-11,337
2025-12,326
