Month,Total_Views
2021-01,1298
2021-02,1311
2021-03,1136
2021-04,1000
2021-05,1036
2021-06,1741
2021-07,3787
2021-08,5403
2021-09,4814
2021-10,3580
2021-11,2002
2021-12,1326
2022-01,1083
2022-02,839
2022-03,947
2022-04,802
2022-05,905
2022-06,1621
2022-07,3341
2022-08,4070
2022-09,5459
2022-10,5209
2022-11,4033
2022-12,2040
2023-01,1644
2023-02,1671
2023-03,1522
2023-04,849
2023-05,1193
2023-06,1764
2023-07,3984
2023-08,5716
2023-09,7324
2023-10,8218
2023-11,4355
2023-12,2398
2024-01,1448
2024-02,983
2024-03,1136
2024-04,737
2024-05,833
2024-06,1339
2024-07,3267
2024-08,4034
2024-09,3284
2024-10,1779
2024-11,1092
2024-12,673
2025-01,555
2025-02,445
2025-03,384
2025-04,421
2025-05,359
2025-06,458
2025-07,716
2025-08,818
2025-09,534
2025-10,396
2025-11,176
2025-12,186
