Month,Total_Views
2021-01,88
2021-02,70
2021-03,89
2021-04,128
2021-05,160
2021-06,144
2021-07,404
2021-08,1480
2021-09,3486
2021-10,2006
2021-11,1085
2021-12,840
2022-01,515
2022-02,261
2022-03,447
2022-04,427
2022-05,407
2022-06,488
2022-07,2031
2022-08,3361
2022-09,4973
2022-10,2853
2022-11,2132
2022-12,1135
2023-01,841
2023-02,877
2023-03,796
2023-04,475
2023-05,761
2023-06,574
2023-07,982
2023-08,1822
2023-09,3356
2023-10,3536
2023-11,1244
2023-12,776
2024-01,684
2024-02,717
2024-03,778
2024-04,610
2024-05,401
2024-06,372
2024-07,1651
2024-08,2224
2024-09,1623
2024-10,797
2024-11,451
2024-12,337
