Month,Total_Regional_Views
2021-01,9964.0
2021-02,9643.0
2021-03,9843.0
2021-04,8474.0
2021-05,8913.0
2021-06,12421.0
2021-07,21002.0
2021-08,35725.0
2021-09,55426.0
2021-10,63200.0
2021-11,33721.0
2021-12,15944.0
2022-01,10764.0
2022-02,8455.0
2022-03,9043.0
2022-04,9801.0
2022-05,10379.0
2022-06,15540.0
2022-07,23694.0
2022-08,33077.0
2022-09,52328.0
2022-10,69523.0
2022-11,64971.0
2022-12,19754.0
2023-01,13050.0
2023-02,14180.0
2023-03,13311.0
2023-04,8880.0
2023-05,16647.0
2023-06,25355.0
2023-07,58097.0
2023-08,70748.0
2023-09,136325.0
2023-10,77756.0
2023-11,53546.0
2023-12,18922.0
2024-01,14767.0
2024-02,13121.0
2024-03,11445.0
2024-04,8378.0
2024-05,12544.0
2024-06,14420.0
2024-07,27621.0
2024-08,20695.0
2024-09,23539.0
2024-10,23608.0
2024-11,18845.0
2024-12,10022.0
