resolution,date,value,source
Monthly,2010-11,22,Google_Trends_Dengue_fever
Monthly,2010-12,9,Google_Trends_Dengue_fever
Monthly,2011-01,7,Google_Trends_Dengue_fever
Monthly,2011-02,5,Google_Trends_Dengue_fever
Monthly,2011-03,4,Google_Trends_Dengue_fever
Monthly,2011-04,4,Google_Trends_Dengue_fever
Monthly,2011-05,4,Google_Trends_Dengue_fever
Monthly,2011-06,5,Google_Trends_Dengue_fever
Monthly,2011-07,7,Google_Trends_Dengue_fever
Monthly,2011-08,10,Google_Trends_Dengue_fever
Monthly,2011-09,12,Google_Trends_Dengue_fever
Monthly,2011-10,17,Google_Trends_Dengue_fever
Monthly,2011-11,13,Google_Trends_Dengue_fever
Monthly,2011-12,7,Google_Trends_Dengue_fever
Monthly,2012-01,5,Google_Trends_Dengue_fever
Monthly,2012-02,4,Google_Trends_Dengue_fever
Monthly,2012-03,3,Google_Trends_Dengue_fever
Monthly,2012-04,4,Google_Trends_Dengue_fever
Monthly,2012-05,6,Google_Trends_Dengue_fever
Monthly,2012-06,9,Google_Trends_Dengue_fever
Monthly,2012-07,9,Google_Trends_Dengue_fever
Monthly,2012-08,15,Google_Trends_Dengue_fever
Monthly,2012-09,27,Google_Trends_Dengue_fever
Monthly,2012-10,71,Google_Trends_Dengue_fever
Monthly,2012-11,52,Google_Trends_Dengue_fever
Monthly,2012-12,17,Google_Trends_Dengue_fever
Monthly,2013-01,10,Google_Trends_Dengue_fever
Monthly,2013-02,8,Google_Trends_Dengue_fever
Monthly,2013-03,6,Google_Trends_Dengue_fever
Monthly,2013-04,5,Google_Trends_Dengue_fever
Monthly,2013-05,6,Google_Trends_Dengue_fever
Monthly,2013-06,12,Google_Trends_Dengue_fever
Monthly,2013-07,13,Google_Trends_Dengue_fever
Monthly,2013-08,16,Google_Trends_Dengue_fever
Monthly,2013-09,44,Google_Trends_Dengue_fever
Monthly,2013-10,51,Google_Trends_Dengue_fever
Monthly,2013-11,26,Google_Trends_Dengue_fever
Monthly,2013-12,9,Google_Trends_Dengue_fever
Monthly,2014-01,6,Google_Trends_Dengue_fever
Monthly,2014-02,5,Google_Trends_Dengue_fever
Monthly,2014-03,5,Google_Trends_Dengue_fever
Monthly,2014-04,6,Google_Trends_Dengue_fever
Monthly,2014-05,6,Google_Trends_Dengue_fever
Monthly,2014-06,6,Google_Trends_Dengue_fever
Monthly,2014-07,9,Google_Trends_Dengue_fever
Monthly,2014-08,11,Google_Trends_Dengue_fever
Monthly,2014-09,18,Google_Trends_Dengue_fever
Monthly,2014-10,30,Google_Trends_Dengue_fever
Monthly,2014-11,34,Google_Trends_Dengue_fever
Monthly,2014-12,11,Google_Trends_Dengue_fever
Monthly,2015-01,8,Google_Trends_Dengue_fever
Monthly,2015-02,8,Google_Trends_Dengue_fever
Monthly,2015-03,5,Google_Trends_Dengue_fever
Monthly,2015-04,5,Google_Trends_Dengue_fever
Monthly,2015-05,5,Google_Trends_Dengue_fever
Monthly,2015-06,9,Google_Trends_Dengue_fever
Monthly,2015-07,16,Google_Trends_Dengue_fever
Monthly,2015-08,30,Google_Trends_Dengue_fever
Monthly,2015-09,100,Google_Trends_Dengue_fever
Monthly,2015-10,69,Google_Trends_Dengue_fever
Monthly,2015-11,44,Google_Trends_Dengue_fever
Monthly,2015-12,20,Google_Trends_Dengue_fever
Monthly,2016-01,10,Google_Trends_Dengue_fever
Monthly,2016-02,7,Google_Trends_Dengue_fever
Monthly,2016-03,6,Google_Trends_Dengue_fever
Monthly,2016-04,6,Google_Trends_Dengue_fever
Monthly,2016-05,6,Google_Trends_Dengue_fever
Monthly,2016-06,11,Google_Trends_Dengue_fever
Monthly,2016-07,23,Google_Trends_Dengue_fever
Monthly,2016-08,48,Google_Trends_Dengue_fever
Monthly,2016-09,79,Google_Trends_Dengue_fever
Monthly,2016-10,56,Google_Trends_Dengue_fever
Monthly,2016-11,31,Google_Trends_Dengue_fever
Monthly,2016-12,11,Google_Trends_Dengue_fever
Monthly,2017-01,7,Google_Trends_Dengue_fever
Monthly,2017-02,7,Google_Trends_Dengue_fever
Monthly,2017-03,6,Google_Trends_Dengue_fever
Monthly,2017-04,7,Google_Trends_Dengue_fever
Monthly,2017-05,8,Google_Trends_Dengue_fever
Monthly,2017-06,15,Google_Trends_Dengue_fever
Monthly,2017-07,29,Google_Trends_Dengue_fever
Monthly,2017-08,41,Google_Trends_Dengue_fever
Monthly,2017-09,56,Google_Trends_Dengue_fever
Monthly,2017-10,96,Google_Trends_Dengue_fever
Monthly,2017-11,50,Google_Trends_Dengue_fever
Monthly,2017-12,16,Google_Trends_Dengue_fever
Monthly,2018-01,10,Google_Trends_Dengue_fever
Monthly,2018-02,8,Google_Trends_Dengue_fever
Monthly,2018-03,8,Google_Trends_Dengue_fever
Monthly,2018-04,6,Google_Trends_Dengue_fever
Monthly,2018-05,6,Google_Trends_Dengue_fever
Monthly,2018-06,8,Google_Trends_Dengue_fever
Monthly,2018-07,12,Google_Trends_Dengue_fever
Monthly,2018-08,23,Google_Trends_Dengue_fever
Monthly,2018-09,32,Google_Trends_Dengue_fever
Monthly,2018-10,45,Google_Trends_Dengue_fever
Monthly,2018-11,31,Google_Trends_Dengue_fever
Monthly,2018-12,11,Google_Trends_Dengue_fever
Monthly,2019-01,8,Google_Trends_Dengue_fever
