lambda_year,lambda_reg,lambda_lag_reg,val_RMSE,val_MAPE_%,year_MAPE_%
0.01,0.01,0.01,5198.356369698542,33.07495158566703,70.30172062494265
0.01,0.01,0.005,5207.651990494149,34.32477670718559,66.46308661713475
0.01,0.01,0.001,5312.490806835363,35.399942636380516,63.44511024249457
0.01,0.01,0.0001,5350.091843696262,35.652003892778495,62.77281210613999
0.01,0.01,1e-05,5354.135973320783,35.67732962243538,62.70592080589423
0.01,0.001,0.005,5487.316716786242,36.69402738466685,120.38753016138992
0.01,0.0001,0.005,5517.9677592267635,36.90235431296218,128.91710980157936
0.01,1e-05,0.005,5521.100205660137,36.92276993368857,129.81683852677065
0.01,0.001,0.01,5525.848484035298,35.290209369751075,127.4706263632321
0.01,0.0001,0.01,5569.182115217161,35.48440291015958,136.55099991980836
0.01,1e-05,0.01,5573.6735880955175,35.5036071083301,137.50814664974283
0.01,0.001,0.001,5578.3003166071585,37.91468542511891,114.82765149013761
0.01,0.0001,0.001,5600.363351393949,38.13680017556298,122.9290947969076
0.01,1e-05,0.001,5602.531464633941,38.15851777369694,123.78155709538458
0.01,0.001,0.0001,5616.848408799101,38.20279537685749,113.59237317088564
0.01,0.001,1e-05,5621.066039911343,38.23162989881679,113.46965636032655
0.01,0.0001,0.0001,5637.310661277628,38.428173269773104,121.59696723993727
0.01,1e-05,0.0001,5639.28505174039,38.450100723697275,122.44217802885098
0.01,0.0001,1e-05,5641.361632919019,38.457255227866476,121.46564665555924
0.01,1e-05,1e-05,5643.36098834598,38.479566557151074,122.30876149665788
0.01,0.1,1e-05,5971.702310021659,25.747587566277648,22.13395318102783
0.01,0.1,0.0001,5974.015977505207,25.748297617905187,22.13500459811783
0.01,0.1,0.001,5997.073742941199,25.75532299630098,22.145414767038282
0.01,0.1,0.005,6096.645821518141,25.777945665130375,22.18939971977909
0.01,0.1,0.01,6216.30444795264,25.794210165608405,22.240772213133205
0.1,1e-05,1e-05,6699.332630316567,41.06108869701136,206.26839009448372
0.1,1e-05,0.0001,6703.431749379344,41.09766353476984,206.25214567835113
0.1,0.0001,1e-05,6726.279454406252,41.31373610086575,205.87603917589922
0.1,0.0001,0.0001,6730.498247112311,41.34959398348365,205.86066053431202
0.1,1e-05,0.001,6745.044489898147,41.454601621313564,206.09502137510862
0.1,0.0001,0.001,6773.168459734802,41.699410551339774,205.70990223058288
0.1,1e-05,0.005,6937.764973836561,42.87088228790682,205.4983651353997
