split_month,n_train_months,n_test_months,n_train_who,n_test_who,RMSE_train,MAPE_train_%,RMSE_test,MAPE_test_%,epochs_used
2024-11,47,13,11,12,15316.883259210304,125.05021915597234,29213.85888302384,158.22292829458465,8000
2024-12,48,12,12,11,1698.2609993914052,18.550931376981747,6852.823220136734,57.84424797301185,8000
2025-01,49,11,13,10,2697.980269708889,34.80534339000994,4362.781801978429,38.79370838570407,8000
2025-02,50,10,14,9,5448.918110604844,74.33520198168281,6793.9995737180325,92.07732100757457,8000
2025-03,51,9,15,8,7560.619016770517,97.06467284295454,10532.182722040094,134.50101241978615,8000
2025-04,52,8,16,7,8940.643085124948,93.95874635510788,14435.235332612985,148.01888070377652,8000
2025-05,53,7,17,6,10112.93801458988,82.0453482958414,18266.93123511415,141.92445541699996,8000
2025-06,54,6,18,5,11241.056821523505,84.29524751387034,22266.41976308494,140.78969798888147,8000
2025-07,55,5,19,4,14578.463476010304,98.05225305404744,25576.90527704898,136.4904455873662,8000
2025-08,56,4,20,3,16544.25340170611,107.31800750902214,29400.306772412616,139.12200815071702,8000
