split_month,g_fever,g_vaccine,intercept,m_10,m_11,m_12,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,wiki_views,x_tilde_lag1,x_tilde_lag2
2024-11,30788.05918247854,-3175.439829246401,-90112.4348373163,20545.844415486572,8436.56992551661,19771.403693581735,-3399.521116408187,-1981.079836681022,-1245.0718127802045,-3154.7487794278495,-3921.315617267792,3120.8499131744466,8047.456447578331,12329.225580573462,9657.577509579298,39.006800095170824,6.021171570274136
2024-12,35893.66478768748,12592.916712637107,-39089.45093609208,17595.41684211321,4803.148602726668,4904.740641937556,-2993.773638108013,266.4007696824063,-964.5705634758849,-2550.5124836167524,-2821.1461021753935,1219.3375965270482,3012.503726834991,9269.53904779568,3855.646605771512,50.54499995855962,47.67293845473256
2025-01,36160.583288283626,13143.155285824743,-45089.34265950954,18801.60647046492,6314.457733495615,6820.47764392459,-1452.7396704118905,1816.4633181334414,716.5186224618078,-1087.8464792770403,-1438.1070441888223,2101.6474180900555,4038.7080229698545,10440.816314091142,4340.010108044831,46.13310884079235,38.75393334209685
2025-02,34356.68219463323,13417.909142136732,-46816.112696126635,18824.062598524237,6223.519705946003,6613.717320162714,-1711.0835825966365,1642.4116426400267,604.199563005529,-1255.329014653266,-1534.3242788987036,2091.7947641954547,4102.503215940961,10544.922218719139,4569.377751894612,46.296468892687756,40.10623888642259
2025-03,32823.58814201641,13143.860711264622,-49372.47543212923,18931.545462063197,6274.7080671697695,6525.521439667658,-1672.2937445498865,66.43454857650373,570.3942719953105,-1329.8420300358648,-1563.9836773460213,2214.9376316499506,4362.113103505766,10740.308978457351,4898.3825668051195,46.25760448904065,41.17003312101761
2025-04,31723.010133693115,12937.489483144614,-50897.94758457347,18941.377061559895,6265.153988373184,6393.699209291968,-1648.7115692539676,100.94582390391832,-235.31556266438926,-1413.6030770720843,-1611.8783249770977,2283.780738370696,4520.947740170337,10831.567524233531,5105.589790262954,46.11289814363528,42.48265467449745
2025-05,30381.210792609494,13065.63951753915,-52956.461211523754,18975.976695265435,6263.418189449125,6320.525168853836,-1601.2981466219915,170.06601918049816,-108.44087244450489,-2296.9530327441466,-1640.4616268974726,2286.7048723209455,4619.418995005886,10931.178713444619,5356.005027602597,45.2790172783777,43.42691418357955
2025-06,29278.069866612503,13262.73660208636,-53861.455989720926,18882.217556818872,6147.706710476799,6127.686265798794,-1661.9894632088817,118.27408388348476,-138.3113983905179,-2359.3936321921096,-885.2797264271122,2180.916851519587,4566.155306950678,10897.020204681201,5476.091963261001,44.52017568712276,44.16075657415479
2025-07,28581.716445341328,13790.783227008706,-56826.499434117664,18679.198053087475,6087.164410409638,6213.710052246499,-1650.2676022040134,143.1008319216406,-51.63645820472079,-2418.332940951695,-920.8589560616535,1066.6755406080786,4294.790246249179,10711.82715390281,5801.267540476666,40.69140623675266,41.78661734235382
2025-08,28143.326655728233,14473.599109497492,-59535.87061829197,18450.138846024463,6006.466173400789,6388.317331064306,-1604.5989867726953,195.4066020305933,45.95417672511908,-2456.2457581009166,-940.4257084742248,846.7066768197028,2699.2048065694016,10506.135967849425,6084.287815114593,39.26272113008901,38.49141677477323
