split_month,n_train_months,n_test_months,n_train_who,n_test_who,n_year_constraints,year_constraint_years,RMSE_train,MAPE_train_%,RMSE_test,MAPE_test_%,epochs_used
2024-11,47,13,11,12,3,2021;2022;2023,5853.831504987933,51.218261512683824,8287.972739070297,75.89509239797665,8000
2024-12,48,12,12,11,4,2021;2022;2023;2024,2656.3319742517547,22.829531406292634,5051.900997128438,52.58791634008514,8000
2025-01,49,11,13,10,4,2021;2022;2023;2024,2287.795048900344,18.58705710429714,5559.694207507551,58.26716810685143,8000
2025-02,50,10,14,9,4,2021;2022;2023;2024,2403.7993958829557,23.253539458512833,5737.839782753973,53.22832931465948,8000
2025-03,51,9,15,8,4,2021;2022;2023;2024,2544.1730596761095,28.638953522570322,6069.961760036813,51.614381155629665,8000
2025-04,52,8,16,7,4,2021;2022;2023;2024,2566.4757332798004,33.256904567363286,6421.541534874032,44.351016839417134,8000
2025-05,53,7,17,6,4,2021;2022;2023;2024,2660.8570010231515,37.21156979409862,6903.15632276629,38.123325290566854,8000
2025-06,54,6,18,5,4,2021;2022;2023;2024,2986.978491612243,40.70453040056678,7077.118624845338,26.208839037519503,8000
2025-07,55,5,19,4,4,2021;2022;2023;2024,3091.347501100171,40.76288998530236,8104.799778994189,28.026069318234658,8000
2025-08,56,4,20,3,4,2021;2022;2023;2024,3168.0007720463423,40.157231285146544,9646.068878969962,35.208517664176185,8000
