split_month,g_fever,g_vaccine,intercept,mosq_total_monthly_views,s_cos1,s_cos2,s_sin1,s_sin2,wiki_views,x_tilde_lag1,x_tilde_lag12,x_tilde_lag2
2024-11,42438.36693758481,-2268.0230494036487,-79035.16616906262,10062.88172158045,-4167.7007387625645,442.820021331573,-6727.408126101443,-2752.1001225808304,-1079.1212127122876,114.68506905506345,223.04087366865625,181.34073364683195
2024-12,42224.3219845058,298.52142285636825,-53432.21558498834,11100.698617483517,-1098.7327032491764,1255.849835159458,-8829.178904355565,-3289.464139058303,-5074.3283074047395,32.86640979342974,218.69372430626987,171.25858128502634
2025-01,35828.38909588671,1226.975981103462,-53453.58939075653,10769.438709382473,-1569.6852902889261,1191.8998481446079,-8708.363163937305,-2632.723289800502,-4690.675192455433,44.00502290423651,236.78787689676724,195.89270054691036
2025-02,35293.15827681561,572.1314879852113,-36193.072208933816,7088.354962508152,-2602.151635178287,-882.4460145821914,-7366.102753520077,-1661.804274742413,-2976.228202059931,63.32104500680514,202.06447864318366,237.79938955854007
2025-03,33002.320569261785,1088.3192561412882,-35965.05491615499,6914.497950995884,-2863.1076638631034,-1255.8270828700668,-6908.1791497068025,-1573.1020949919625,-2811.7506102260895,77.86525390649965,208.93757419742062,236.7183161220186
2025-04,31136.50659967038,1292.444681210615,-37554.61282600532,7116.839656848404,-3119.6129705815238,-1117.8167996149941,-6362.81024295909,-1594.3339655444122,-2821.9726896137636,92.52041508401501,226.77247376512366,228.78868769338317
2025-05,29152.107208214442,1799.3645005834444,-39659.03154664602,7454.2958665373235,-3285.643494380356,-982.4207376997264,-6221.2887450667195,-1625.9804230226482,-2897.4639724232075,99.62561791901817,235.89845232701938,226.02956522013682
2025-06,28414.702437249394,2545.589401270708,-40448.51347203256,7445.693707809302,-3375.574468931921,-851.2316531604279,-6093.461024760718,-1637.5384453021984,-2791.836866525965,92.98190262661693,237.43385752003536,228.77885090021815
2025-07,32885.741745198444,4443.856388705479,-42312.03624940521,7706.248612655026,-2106.9705396311315,-677.0810785542178,-5769.070366958421,-2431.74972429858,-2901.060728940194,71.29383149621754,209.58731976655264,208.92986269293064
2025-08,34649.25882359605,5599.090105167817,-46332.56409872454,8050.585508024181,-1855.3079368526849,64.87965901509277,-4495.8426669218015,-2612.203806788085,-2891.1370791419477,70.95637628330743,227.84669976540593,194.32849698514397
2025-09,34363.39972061495,6220.208597567088,-47057.91458646341,7911.209110679544,-2185.868637544792,56.23962920937422,-4131.4616938366435,-2505.248422165982,-2727.365824334025,78.08794022988086,226.19067586047646,205.4986237302876
2025-10,33565.61045507955,6750.81452256396,-46092.18684338555,7551.00286342943,-2556.0269911532796,-276.5005931007163,-4177.742887586166,-2451.3808890337327,-2518.060144487909,89.93167862652379,211.20171762225053,223.0816012934163
2025-11,33772.903664868136,7444.706580081503,-42715.159494847125,7029.227341588949,-1680.3698719920496,-159.14678176380588,-4722.771968530343,-2914.304356864526,-2349.2956047422895,90.04837569497798,187.12617566609532,212.0664395931821
2025-12,49515.72966410889,758.8670496104057,-18596.24775318006,4249.214720801891,-463.3384789016666,-953.1354853458356,-5456.755941841731,-2656.4676911104625,-2167.8380618461565,113.68147835665238,81.6845844508729,144.3311768162828
