split_month,g_fever,g_vaccine,intercept,mosq_total_monthly_views,s_cos1,s_cos2,s_sin1,s_sin2,wiki_views,x_tilde_lag1,x_tilde_lag12,x_tilde_lag2
2024-11,8768.842697143555,-517.7690982818604,18031.896591186523,3453.484535217285,-2867.753744125366,287.81989216804504,-4856.407642364502,-1971.5847969055176,-845.4972505569458,2316.817045211792,4601.734638214111,3520.991325378418
2024-12,8675.825119018555,52.66305431723595,18260.725021362305,4093.8658714294434,-739.0439510345459,867.8104281425476,-6279.641151428223,-2330.840587615967,-4094.0704345703125,681.7773580551147,4451.911926269531,3383.828639984131
2025-01,7320.096015930176,257.3999762535095,18044.097900390625,4256.949901580811,-1079.6359777450562,831.7044973373413,-6169.2094802856445,-1885.019302368164,-3860.1632118225098,881.4113736152649,4812.763214111328,3848.240375518799
2025-02,7179.525375366211,113.94940316677094,17814.14794921875,2968.363046646118,-1806.3348531723022,-622.9289174079895,-5245.524883270264,-1197.7269649505615,-2519.6852684020996,1257.1496963500977,4079.158306121826,4629.636764526367
2025-03,6687.239170074463,222.49363362789154,17583.547592163086,2991.591453552246,-1972.0326662063599,-887.6006007194519,-4962.155342102051,-1122.3547458648682,-2456.541061401367,1533.574104309082,4194.190979003906,4590.297222137451
2025-04,6290.126800537109,261.4031732082367,17343.26934814453,3316.077470779419,-2140.4566764831543,-781.3775539398193,-4586.664199829102,-1142.9373025894165,-2554.66890335083,1810.3930950164795,4534.43717956543,4418.399810791016
2025-05,5862.178325653076,366.0760819911957,17126.436233520508,3732.1205139160156,-2265.302896499634,-682.8188300132751,-4460.006237030029,-1171.6195344924927,-2684.2093467712402,1939.4078254699707,4685.056686401367,4348.823547363281
2025-06,5678.257942199707,524.4297981262207,16950.76560974121,3957.444667816162,-2348.0684757232666,-599.2517471313477,-4328.589916229248,-1170.1711416244507,-2640.4688358306885,1802.9508590698242,4673.35844039917,4390.505790710449
2025-07,6524.26290512085,913.8587117195129,16854.94041442871,4220.170974731445,-1464.972972869873,-472.26688265800476,-4079.1330337524414,-1735.1335287094116,-2769.2010402679443,1376.182198524475,4095.792770385742,3995.2001571655273
2025-08,6814.652442932129,1141.627311706543,16783.113479614258,4509.217262268066,-1281.7550897598267,49.36611279845238,-3207.437038421631,-1870.4947233200073,-2768.3775424957275,1358.6710691452026,4429.116249084473,3695.4352855682373
