split_month,test_end_month,test_horizon_months,n_train_months,n_test_months,n_train_who,n_test_who,n_year_constraints,year_constraint_years,RMSE_train,MSE_train,MAPE_train_%,RMSE_test,MSE_test,MAPE_test_%,RMSE_test_seasonal_naive,MSE_test_seasonal_naive,MAPE_test_seasonal_naive_%,epochs_used
2024-11,2025-01,2,47,2,11,2,3,2021;2022;2023,4351.813966483401,18938284.79887999,37.239386103651825,8109.723009973372,65767607.298491575,80.13309145948078,267.9988188219374,71823.36688995361,4.038811982303005,8000
2024-12,2025-02,2,48,2,12,2,4,2021;2022;2023;2024,2720.944698900933,7403540.054477089,26.231015338000667,4276.425844089898,18287818.0,100.0,1178.5096520606014,1388885.0,25.353512371283866,8000
2025-01,2025-03,2,49,2,13,2,4,2021;2022;2023;2024,2962.2430204493107,8774883.712200655,31.424685428303405,3664.3502152496285,13427462.5,100.0,1865.546702712103,3480264.5,50.892254287447905,8000
2025-02,2025-04,2,50,2,14,2,4,2021;2022;2023;2024,3045.755339960236,9276625.590896294,32.630421284158885,3135.226387360249,9829644.5,100.0,1539.2472186104478,2369282.0,41.459545698669956,8000
2025-03,2025-05,2,51,2,15,2,4,2021;2022;2023;2024,3111.974141440279,9684383.05699296,36.63289823376552,3276.6412681280813,10736378.0,100.0,1075.5940219246293,1156902.5,30.197439074762496,8000
2025-04,2025-06,2,52,2,16,2,4,2021;2022;2023;2024,3115.3253235910533,9705251.871807702,40.9840091168876,3760.531396171604,14141596.381592352,78.56734183324654,1221.3191638552144,1491620.5,26.359332040649885,8000
2025-05,2025-07,2,53,2,17,2,4,2021;2022;2023;2024,3173.3343440349277,10070050.859031586,44.506131402929505,3012.191289588293,9073296.365071584,38.83856411441309,12306.557784368462,151451364.5,92.36936077149149,8000
2025-06,2025-08,2,54,2,18,2,4,2021;2022;2023;2024,3177.772743963578,10098239.612277806,45.56164371924708,2795.4696396150302,7814650.506009387,22.14206503860025,17732.57389664569,314444177.0,147.5395815035851,8000
2025-07,2025-09,2,55,2,19,2,4,2021;2022;2023;2024,3167.69509860524,10034292.237727663,44.95973361977153,1207.0735043179982,1457026.4448265322,7.49694983444235,20451.924224874296,418281204.5,123.24333944800907,8000
2025-08,2025-10,2,56,2,20,2,4,2021;2022;2023;2024,3154.666294570243,9951919.430097546,44.43714107803946,1388.8058306039093,1928781.6351194144,6.567127400054148,25720.74804510942,661556880.0,122.9642142608479,8000
2025-09,2025-11,2,57,2,21,2,4,2021;2022;2023;2024,3142.19561293899,9873393.269973036,43.10687245175496,6254.574658599479,39119704.15999479,24.583525031773902,20982.30941769757,440257308.5,81.38381652034006,8000
2025-10,2025-12,2,58,2,22,2,4,2021;2022;2023;2024,3165.9819475375098,10023441.692133402,41.56618034907121,6742.776817468697,45465039.21019329,41.75510819092586,9036.825797811973,81664220.5,83.56994018178003,8000
2025-11,2026-01,2,59,2,23,2,4,2021;2022;2023;2024,3370.296027666566,11358895.314105032,39.771735842267255,2789.9138413574165,7783619.242197696,61.501244010894354,6991.7356929449215,48884368.0,81.43725614015545,8000
2025-12,2026-02,2,60,2,24,1,5,2021;2022;2023;2024;2025,2652.655565294915,7036581.548090086,27.52462695728611,3544.0,12559936.0,100.0,1156.0,1336336.0,32.61851015801354,8000
