split_month,test_end_month,test_horizon_months,n_train_months,n_test_months,n_train_who,n_test_who,n_year_constraints,year_constraint_years,RMSE_train,MSE_train,MAPE_train_%,RMSE_test,MSE_test,MAPE_test_%,RMSE_test_seasonal_naive,MSE_test_seasonal_naive,MAPE_test_seasonal_naive_%,epochs_used
2024-11,2025-01,2,47,2,11,2,3,2021;2022;2023,2379.4101768975697,5661592.789923725,11.055606250872664,6665.017917258115,44422463.83737169,32.27651502084563,267.99947449735816,71823.71833086014,4.0387998685294395,8000
2024-12,2025-02,2,48,2,12,2,4,2021;2022;2023;2024,2509.568184929773,6297932.474811715,13.683368687762263,2007.666409932027,4030724.4135693535,46.9092403804993,1178.5091366456195,1388883.7851572037,25.353509930996758,8000
2025-01,2025-03,2,49,2,13,2,4,2021;2022;2023;2024,2263.1123766185065,5121677.629203865,12.628625961148664,204.7762912068843,41933.32944044668,4.423206830592734,1865.5476389434605,3480267.9931675196,50.89227616684532,8000
2025-02,2025-04,2,50,2,14,2,4,2021;2022;2023;2024,2210.808156202533,4887672.703531643,12.149553427025815,375.2546734349839,140816.0699347964,11.65436888139869,1539.2489699865523,2369287.391604662,41.45958944956261,8000
2025-03,2025-05,2,51,2,15,2,4,2021;2022;2023;2024,2140.813700493266,4583083.300219671,11.730635398452428,737.5134017697427,543926.017789978,19.430927914249242,1075.5932286223372,1156900.7934582233,30.197428668737153,8000
2025-04,2025-06,2,52,2,16,2,4,2021;2022;2023;2024,2077.02586723845,4314036.453177635,11.739931553549036,523.5945319036075,274151.2338393579,11.21908197680096,1221.3172973973724,1491615.9409220219,26.35929369312039,8000
2025-05,2025-07,2,53,2,17,2,4,2021;2022;2023;2024,2198.393908566706,4832935.777223199,12.404154124250322,2622.160201121241,6875724.120344186,19.64871323555378,12306.561817009637,151451463.75587952,92.36937031027871,8000
2025-06,2025-08,2,54,2,18,2,4,2021;2022;2023;2024,2166.5773498137755,4694057.412726083,12.074396054731503,2910.064344373453,8468474.488393694,24.597222557592996,17732.579754839764,314444384.7617531,147.53963042465915,8000
2025-07,2025-09,2,55,2,19,2,4,2021;2022;2023;2024,2025.3584224160525,4102076.739251641,11.90940894437427,1954.4917677776816,3820038.0703107268,9.88431910672706,20451.92034874128,418281045.9512577,123.24332876912145,8000
2025-08,2025-10,2,56,2,20,2,4,2021;2022;2023;2024,1992.4145781054997,3969715.851047316,11.689990277270612,2825.7585423646665,7984911.339746885,13.751133023703128,25720.751567014246,661557061.1720657,122.9642175775059,8000
2025-09,2025-11,2,57,2,21,2,4,2021;2022;2023;2024,2033.4676137969573,4134990.5363610913,11.56144195870685,3426.542612867583,11741194.277797405,14.392104991327212,20982.321941594466,440257834.0607166,81.38387301836129,8000
2025-10,2025-12,2,58,2,22,2,4,2021;2022;2023;2024,2047.0167663907037,4190277.641884653,11.47718287147326,3789.46818659706,14360069.137231212,29.933345039114013,9036.828094731425,81664262.01372719,83.56993629427708,8000
2025-11,2026-01,2,59,2,23,2,4,2021;2022;2023;2024,2076.5557490684823,4312083.778989365,11.769302862181096,2561.5654756979347,6561617.6862875875,33.830655352128645,6991.732788288039,48884327.38282204,81.43720267782966,8000
2025-12,2026-02,2,60,2,24,1,5,2021;2022;2023;2024;2025,2423.4722404121817,5873217.700048438,12.940187902744082,483.5671571191092,233837.19544425723,13.644671476272832,1155.998046875,1336331.4843788147,32.61845504726298,8000
