split_month,g_fever,g_vaccine,intercept,m_10,m_11,m_12,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,mosq_total_monthly_views,wiki_views,x_tilde_lag1,x_tilde_lag12,x_tilde_lag2
2024-11,8316.575050354004,-1032.467246055603,18064.899444580078,5967.0915603637695,2901.0205268859863,510.27244329452515,409.9790155887604,1207.3323726654053,1164.3959283828735,3311.0275268554688,3696.6183185577393,5356.178760528564,3817.323684692383,4298.727989196777,3262.0489597320557,-1156.9751501083374,4894.390106201172,3350.4562377929688,2415.2767658233643
2024-12,7672.382831573486,157.34028816223145,18260.12420654297,6032.698631286621,2651.1385440826416,2835.8194828033447,-69.44958120584488,448.59105348587036,73.13590496778488,2326.6687393188477,2654.5956134796143,4369.075298309326,2841.297149658203,4232.510089874268,3685.023307800293,-4057.4288368225098,5112.205028533936,3037.593364715576,1245.900273323059
2025-01,6199.8748779296875,932.996392250061,18038.108825683594,5468.836307525635,2118.739366531372,2358.6862087249756,-745.2191710472107,-55.081844329833984,-422.879695892334,1905.6086540222168,2376.423120498657,3898.7650871276855,2231.234073638916,3722.51033782959,4306.660175323486,-4158.695220947266,4917.685031890869,3643.0089473724365,1446.2307691574097
2025-02,6393.599033355713,449.4395852088928,17817.821502685547,5431.7450523376465,1807.3526620864868,1790.3354167938232,684.5722794532776,858.086347579956,428.5734295845032,2143.490791320801,2459.2599868774414,4475.919723510742,2917.1996116638184,3764.497995376587,3062.3486042022705,-2861.1042499542236,4891.756057739258,3194.29612159729,2495.2619075775146
2025-03,6113.476276397705,580.5271863937378,17591.190338134766,5255.537986755371,1810.8898401260376,1830.9807777404785,521.5777158737183,867.1260476112366,182.73566663265228,1994.875192642212,2350.250244140625,4245.940685272217,2659.9037647247314,3597.193717956543,3486.5846633911133,-3189.284324645996,4710.6122970581055,3478.78098487854,2297.7452278137207
2025-04,6100.487232208252,648.5506296157837,17351.247787475586,5138.713836669922,1714.6105766296387,1689.5697116851807,549.4939684867859,966.6143655776978,1103.0478477478027,1927.7477264404297,2252.227306365967,4167.910575866699,2653.9623737335205,3480.79514503479,3365.734100341797,-2913.1128787994385,4447.547435760498,3418.4060096740723,2505.2731037139893
2025-05,5964.46418762207,651.9686579704285,17136.070251464844,4917.541980743408,1703.7465572357178,1652.9537439346313,493.2934641838074,931.9924712181091,1098.0684757232666,2287.2583866119385,2216.8831825256348,4065.4478073120117,2541.2325859069824,3280.871629714966,3739.89200592041,-2984.0993881225586,4093.9865112304688,3741.29581451416,2625.2050399780273
2025-06,5881.527900695801,658.3690047264099,16956.275939941406,4673.243045806885,1627.5568008422852,1575.1618146896362,463.06654810905457,936.2371563911438,1107.8426837921143,2261.9123458862305,2739.089250564575,3960.235357284546,2426.5003204345703,3059.727668762207,3933.9919090270996,-2914.130210876465,3812.155246734619,3970.411777496338,2760.7150077819824
2025-07,6587.734222412109,2000.9667873382568,16847.10121154785,4984.181880950928,1889.3898725509644,1974.5559692382812,126.45746767520905,610.1018190383911,699.2903351783752,1789.0706062316895,2412.9419326782227,2444.0855979919434,1747.5275993347168,3060.728073120117,4523.709774017334,-3163.7423038482666,2654.1659832000732,2947.9682445526123,2351.5191078186035
2025-08,6322.662353515625,2020.4362869262695,16770.845413208008,4941.162109375,1809.271216392517,1874.6939897537231,165.73373973369598,687.9306435585022,768.5753107070923,1838.0354642868042,2471.980094909668,2525.904417037964,2158.4975719451904,3063.8110637664795,4574.821472167969,-3080.1148414611816,2721.8809127807617,2917.646646499634,2538.006067276001
