split_month,n_train_months,n_test_months,n_train_who,n_test_who,n_year_constraints,year_constraint_years,RMSE_train,MAPE_train_%,RMSE_test,MAPE_test_%,RMSE_test_seasonal_naive,MAPE_test_seasonal_naive_%,epochs_used
2024-11,47,15,11,14,3,2021;2022;2023,3450.8036721117614,39.103504839725026,7496.095489958724,75.72929601766678,12326.493095861073,66.29053570435269,8000
2024-12,48,14,12,13,4,2021;2022;2023;2024,1168.4675039115439,12.240201605652235,4447.1573169160765,63.83668456610487,12791.723484046537,71.31621248243438,8000
2025-01,49,13,13,12,4,2021;2022;2023;2024,1853.2725963299897,21.748936680801485,4575.144001771104,61.65749544577369,13313.59838974172,76.58724437370107,8000
2025-02,50,12,14,11,4,2021;2022;2023;2024,1926.0197260802706,25.776716375632585,4628.042466156497,55.59056034740914,13896.986906912918,79.67306704809812,8000
2025-03,51,11,15,10,4,2021;2022;2023;2024,2102.6163113014136,30.747598471043595,4691.8120238148085,51.72430625836457,14560.43370233181,81.72624239095171,8000
2025-04,52,10,16,9,4,2021;2022;2023;2024,2118.557798642649,36.00465562769727,4835.26770194886,45.85901487590724,15346.552750808025,88.16496068130436,8000
2025-05,53,9,17,8,4,2021;2022;2023;2024,2256.9301905910147,39.35483975748368,4930.772644675353,39.04645107631628,16270.173981091904,94.60844321999902,8000
2025-06,54,8,18,7,4,2021;2022;2023;2024,2373.9813884972414,39.888188971517344,4935.072786294507,33.67101239333104,17389.1053372096,105.82371172149136,8000
2025-07,55,7,19,6,4,2021;2022;2023;2024,2537.991758894079,40.25271955286699,4857.942249620987,35.41699650657337,17391.788110101465,95.35480403616819,8000
2025-08,56,6,20,5,4,2021;2022;2023;2024,2563.2079424356048,39.15875607804894,5212.527060377159,37.192903763876146,17249.803111919857,89.13736380865387,8000
