split_month,g_fever,g_vaccine,intercept,mosq_total_monthly_views,s_cos1,s_cos2,s_sin1,s_sin2,wiki_views,x_tilde_lag1,x_tilde_lag12,x_tilde_lag2
2024-11,42349.5805537692,-2327.9943244123097,-78487.12982237087,9997.606883768041,-4101.360092364074,411.6298416294376,-6796.079415295445,-2759.044923839069,-1060.1038842901523,115.84750320405281,218.9772556783202,179.14750864991797
2024-12,42190.60108469146,239.06911359510616,-52960.93393804136,11042.265839269829,-1045.1659966301065,1227.2692980518125,-8880.753835173618,-3296.306427150056,-5056.289497255988,34.3552566525836,214.79861330122452,169.2011299017974
2025-01,35746.99559249021,1177.8846678376992,-53248.91854597861,10758.0232979293,-1519.5749250690164,1182.379588655849,-8770.359413691254,-2653.1424704208544,-4688.9129438319815,44.87732184360906,233.7795199136657,193.9156484247658
2025-02,35184.55427998113,524.8060445019829,-35985.843540873386,7074.190917721065,-2556.4519108727827,-889.8984685948656,-7423.835114412119,-1679.1299302160635,-2972.4629546996052,64.28256617064105,199.56392561657648,235.71933074617235
2025-03,32892.482391972524,1032.3201571479517,-35794.28750791914,6905.536129133006,-2818.6896336034324,-1255.7397210036395,-6964.460244650365,-1589.083235946014,-2809.014518177148,78.70567416152687,206.6987858714978,234.7183360753771
2025-04,31033.12208055875,1224.4880437620943,-37425.59847728514,7116.84682044434,-3072.567844842567,-1111.320124036691,-6419.092313309508,-1609.0842706991227,-2823.0154740061685,93.24501293460453,224.67314269902138,226.75991648942335
2025-05,29055.262470256333,1731.19717810128,-39551.06336374817,7459.271208431253,-3234.2793059862224,-975.2464719907977,-6279.3606617647365,-1641.5066860252944,-2900.8323564813436,100.19486501541587,233.7765977949621,223.9878781246184
2025-06,28309.16979323597,2493.652340082716,-40361.41570911397,7451.9839343546555,-3321.8096916035074,-847.469962572755,-6151.000937366361,-1654.8719271048326,-2794.5905967921176,93.5196057014909,235.22769274487987,226.82497681633006
2025-07,32777.391471778945,4384.302019174595,-42241.96636184237,7711.701491067731,-2064.787928037533,-670.9988489405545,-5815.469379739598,-2443.3713606426372,-2902.394620852219,71.80195598571873,208.01304160280205,207.23223903585315
2025-08,34539.03445984091,5526.578983417445,-46261.39217654397,8055.8186091136295,-1815.9199472187631,70.44604144261353,-4544.119968042795,-2624.4399949755307,-2891.8082653783213,71.43418810147108,226.19981831015193,192.80839557940521
