split_month,g_fever,g_vaccine,intercept,mosq_total_monthly_views,s_cos1,s_cos2,s_sin1,s_sin2,wiki_views,x_tilde_lag1,x_tilde_lag12,x_tilde_lag2
2024-11,8808.37345123291,-610.4859709739685,18032.06443786621,3444.8294639587402,-2862.5400066375732,314.8830831050873,-4787.146091461182,-1902.2603034973145,-865.0563955307007,2409.8925590515137,4632.040023803711,3468.9347743988037
2024-12,8702.947616577148,28.46740372478962,18260.780334472656,4092.73624420166,-718.073308467865,879.7690868377686,-6254.380226135254,-2324.2201805114746,-4108.946800231934,728.3841371536255,4430.379867553711,3350.321054458618
2025-01,7371.197700500488,170.97404599189758,18044.269561767578,4243.947982788086,-1080.6903839111328,812.8045797348022,-6205.877304077148,-1882.8076124191284,-3884.2756748199463,922.4375486373901,4755.821704864502,3843.184232711792
2025-02,7282.248973846436,-61.123475432395935,17815.292358398438,2954.4875621795654,-1828.697681427002,-634.9309086799622,-5300.453186035156,-1172.7114915847778,-2568.756341934204,1340.3714895248413,4029.843807220459,4605.134010314941
2025-03,6790.68660736084,33.24274346232414,17584.92660522461,2977.621555328369,-2013.045072555542,-878.8867592811584,-4988.460540771484,-1084.9305391311646,-2501.243829727173,1617.0411109924316,4188.176155090332,4573.940753936768
2025-04,6386.4946365356445,66.65930896997452,17344.65980529785,3289.360761642456,-2196.608304977417,-777.9877781867981,-4607.028484344482,-1103.0582189559937,-2588.9759063720703,1893.362283706665,4532.562732696533,4418.137073516846
2025-05,5952.446460723877,173.674076795578,17127.771377563477,3699.4314193725586,-2327.9569149017334,-681.4228892326355,-4481.541633605957,-1132.2604417800903,-2713.8607501983643,2018.4087753295898,4683.113574981689,4359.528541564941
2025-06,5795.423984527588,365.36335945129395,16953.096389770508,3938.643455505371,-2364.003896713257,-597.273051738739,-4334.368705749512,-1156.5728187561035,-2674.680471420288,1855.309009552002,4663.9838218688965,4386.277198791504
2025-07,6579.5722007751465,818.3579444885254,16855.575561523438,4206.671237945557,-1491.66738986969,-478.29434275627136,-4093.940258026123,-1736.1421585083008,-2789.8271083831787,1420.5327033996582,4076.444149017334,4016.5863037109375
2025-08,6864.995002746582,1049.1082668304443,16783.82110595703,4493.144989013672,-1307.3991537094116,38.029782474040985,-3239.1879558563232,-1881.988525390625,-2788.1059646606445,1405.4385423660278,4392.298698425293,3725.0282764434814
