split_month,n_train_months,n_test_months,n_train_who,n_test_who,n_year_constraints,year_constraint_years,RMSE_train,MAPE_train_%,RMSE_test,MAPE_test_%,RMSE_test_seasonal_naive,MAPE_test_seasonal_naive_%,epochs_used
2024-11,47,13,11,13,3,2021;2022;2023,4368.539741201137,37.35199722487744,7692.549364671157,77.0449309324127,12788.076193113338,68.96280832793701,8000
2024-12,48,12,12,12,4,2021;2022;2023;2024,2730.202107728146,26.309957555814105,3482.6316003041443,55.24428655414747,13309.865169615106,74.54102100946946,8000
2025-01,49,11,13,11,4,2021;2022;2023;2024,2969.7923205760458,31.513448352322193,3372.7459419476586,51.16150325538912,13901.231106370662,80.58440202967266,8000
2025-02,50,10,14,10,4,2021;2022;2023;2024,3044.7543030852335,32.58267278286451,3733.377171505055,48.909278741765725,14570.697855627917,84.37852273710658,8000
2025-03,51,9,15,9,4,2021;2022;2023;2024,3109.683978258249,36.452692446989154,3908.1102070074794,44.26158264156353,15343.20682111649,87.1826570835004,8000
2025-04,52,8,16,8,4,2021;2022;2023;2024,3112.9725748268515,40.48401448204852,3999.446716748724,36.57905814380557,16272.345390262584,95.10826699671573,8000
2025-05,53,7,17,7,4,2021;2022;2023;2024,3170.1899253661027,44.207303262165794,4046.092412681592,27.78611077048842,17388.0589362766,103.4641479431398,8000
2025-06,54,6,18,6,4,2021;2022;2023;2024,3166.7082972785142,45.110759027469385,4137.716092354455,23.1123674995922,18776.450476594346,118.02457864873767,8000
2025-07,55,5,19,5,4,2021;2022;2023;2024,3154.507824050886,44.59818877762379,3819.4661601246385,18.023839076205146,19044.733791786115,107.90206281179913,8000
2025-08,56,4,20,4,4,2021;2022;2023;2024,3138.856382968502,44.14012769275034,4532.755070859779,22.278048453893167,19277.20286374556,103.26707722131397,8000
