split_month,g_fever,g_vaccine,intercept,mosq_total_monthly_views,s_cos1,s_cos1_t,s_cos2,s_cos2_t,s_sin1,s_sin1_t,s_sin2,s_sin2_t,wiki_views,x_tilde_lag1,x_tilde_lag12,x_tilde_lag2
2024-11,41096.502858774635,-1639.3981138144536,-81793.46974518296,10579.19918003545,-4564.649055389121,-880.7683974143777,-2452.269241549376,2931.937942546241,-5091.3160456772075,-3908.3629509275893,549.8586433498398,-4445.608463299917,-1300.0766991690887,86.67188945344678,199.41953152868658,193.37089930432944
2024-12,42576.8215625815,207.18499822363478,-57380.557134422445,11844.107554729484,-4000.726948855557,2638.315986212058,-1743.682419107763,3567.9172070620307,-6483.565131169846,-4065.907366971117,-1894.7667353126449,-1421.8587068058025,-5404.046733303456,-15.568164536962536,219.15313881183212,184.16671483486587
2025-01,38779.933994686595,608.6330012983187,-53542.29530461787,10823.620038397321,-5184.508114073115,3878.4129234209113,-1651.9461868755964,2981.2918990504686,-6452.938174323822,-3325.981669775436,-2188.1692813127283,-1.109055105693837,-4772.78265646165,12.755881603865774,220.56648886861262,194.46770951076124
2025-02,38731.72322601484,696.0247958874284,-37876.22375988609,7682.927220770713,-5689.594755579055,4161.1558436059995,-432.4424766207163,-612.3209219233603,-6551.185523449216,-1538.866203779192,-1907.6373936010557,423.7314021660668,-3375.7137185706124,49.07870240468823,170.95887976687163,214.32433544608267
2025-03,36716.31731573001,1132.9550377486669,-34973.28424321875,6988.510029698005,-5585.023634324692,3673.4521422836647,94.19726840693866,-1760.3379471826388,-6168.161320935288,-1371.881118877598,-1836.6794401022414,333.8265542686033,-2994.9019293252104,73.93997541960618,163.02936910617103,218.5599050067255
2025-04,34022.11941969422,2002.362915214188,-32514.750789231024,6230.3098651798455,-6318.5381208285335,3659.421923680379,-27.4304686336356,-2029.931515659959,-5314.78574693172,-1567.6777739103882,-1167.316331940522,-491.5764550342378,-2532.2087789773295,82.39402291034833,165.8936365844432,234.85096296261432
2025-05,31449.133366095863,2304.8641123370053,-30331.297686120866,5884.492822839397,-5336.742339883479,2074.635668328816,-364.78999653345556,-1594.179933465174,-4941.919439649641,-1927.8063702406137,-1115.5074065457125,-674.6616449188006,-2405.5265924684295,90.76756310651055,165.31743119476022,244.66804497442487
2025-06,30748.48535073232,1482.181531155874,-28611.58446098557,5671.055630972777,-4735.905094553484,1019.0000992394945,-1151.4439974162296,-737.5591666300555,-4871.954501607295,-2069.5760277306754,-1616.7462244641724,-3.9142316273840545,-2348.723740773376,97.49426377763614,167.9776544352056,250.3822722785382
2025-07,35204.431367834164,1302.7633790226716,-29353.65096681154,5982.028940424602,-5672.4553645349015,2581.7292867801248,-1269.9866161392897,-366.1796382733045,-5109.306085676855,-1588.2134081861645,-424.83135819009266,-1452.210534906235,-2594.7623627079006,81.65290587426618,155.91074015811614,228.97276094854325
2025-08,36837.55610981985,2337.161279032131,-37611.3021575518,6876.309739441742,-5776.642579977668,2836.9696989596137,-1293.9319636053226,703.8332442343988,-4975.352064209628,18.913395254782248,-201.67835084343008,-1599.7072731650528,-2657.2499694292724,75.4367775660186,207.78123606804922,208.17991325677048
