split_month,n_train_months,n_test_months,n_train_who,n_test_who,n_year_constraints,year_constraint_years,RMSE_train,MAPE_train_%,RMSE_test,MAPE_test_%,RMSE_test_seasonal_naive,MAPE_test_seasonal_naive_%,epochs_used
2024-11,47,15,11,14,3,2021;2022;2023,4196.269180033273,38.389833471591565,6175.255460096305,74.93859197733128,12326.493095861073,66.29053570435269,8000
2024-12,48,14,12,13,4,2021;2022;2023;2024,2350.9638082489287,21.58368651194733,3595.8281001975356,60.11749211354617,12791.723484046537,71.31621248243438,8000
2025-01,49,13,13,12,4,2021;2022;2023;2024,2660.589005458794,26.91917515472207,3669.137824696596,60.13154473318536,13313.59838974172,76.58724437370107,8000
2025-02,50,12,14,11,4,2021;2022;2023;2024,2784.3426086921268,29.763031198887564,3839.153374120408,56.95486771163485,13896.986906912918,79.67306704809812,8000
2025-03,51,11,15,10,4,2021;2022;2023;2024,2959.6086757621006,35.0817259737185,4308.7126795394315,53.07880536914512,14560.43370233181,81.72624239095171,8000
2025-04,52,10,16,9,4,2021;2022;2023;2024,3026.49900889868,39.00977049336427,4628.802807719084,49.83545067867566,15346.552750808025,88.16496068130436,8000
2025-05,53,9,17,8,4,2021;2022;2023;2024,3197.8802604627244,44.92707050000701,4843.683974465718,44.00095304495589,16270.173981091904,94.60844321999902,8000
2025-06,54,8,18,7,4,2021;2022;2023;2024,3281.932209555922,46.379809960320145,4820.963074054785,39.58835502330745,17389.1053372096,105.82371172149136,8000
2025-07,55,7,19,6,4,2021;2022;2023;2024,3205.309733463254,45.0494595801903,3672.399830613943,31.15706777229809,17391.788110101465,95.35480403616819,8000
2025-08,56,6,20,5,4,2021;2022;2023;2024,3043.55783254264,42.60639858293148,2425.9862074172675,29.07940307251472,17249.803111919857,89.13736380865387,8000
