split_month,g_fever,g_vaccine,intercept,s_cos1,s_cos2,s_sin1,s_sin2,wiki_views,x_tilde_lag1,x_tilde_lag12,x_tilde_lag2
2024-11,7530.3544998168945,-5034.114837646484,17672.52540588379,2119.1012859344482,-3293.0374145507812,-9495.508193969727,-1919.7288751602173,9169.82650756836,3633.1589221954346,-595.5061316490173,-3207.139015197754
2024-12,9426.259994506836,-1065.8745765686035,18296.659469604492,-2666.1932468414307,-2535.4089736938477,-4612.293243408203,-1041.274070739746,810.9002113342285,353.75499725341797,2145.220994949341,6470.546245574951
2025-01,6380.993843078613,-549.1623878479004,18105.0968170166,-3272.58038520813,-2965.4290676116943,-5365.017890930176,-1497.1705675125122,2454.9686908721924,-1040.2840375900269,3126.6963481903076,7505.810260772705
2025-02,4633.304119110107,-445.10602951049805,17864.03465270996,-3428.274631500244,-2811.215877532959,-4946.143627166748,-1277.8559923171997,3434.5695972442627,-698.3186602592468,4083.6362838745117,7210.117816925049
2025-03,4006.706714630127,-786.4212989807129,17616.317749023438,-3466.599702835083,-2493.222951889038,-4033.9860916137695,-905.9649109840393,4086.9197845458984,-215.1341438293457,5210.442543029785,6577.730655670166
2025-04,3702.5375366210938,-1113.0110025405884,17346.059799194336,-3435.7776641845703,-2041.5496826171875,-3100.454330444336,-639.0580534934998,4607.821464538574,578.4531831741333,6094.574451446533,5592.857360839844
2025-05,3393.7597274780273,-1114.2899990081787,17114.551544189453,-3166.0995483398438,-2153.1670093536377,-3294.332265853882,-520.9391713142395,4809.561729431152,1116.3238286972046,5929.099082946777,4966.783046722412
2025-06,3481.9281101226807,-487.4301552772522,16900.381088256836,-2038.6865139007568,-2016.3390636444092,-3382.6868534088135,-967.1557545661926,5310.415267944336,534.3780517578125,5463.865280151367,4071.197509765625
2025-07,4394.786357879639,172.68414795398712,16765.260696411133,-507.38823413848877,-1777.0057916641235,-3169.879913330078,-1697.4290609359741,5576.835632324219,42.57437214255333,4678.605079650879,3038.285255432129
2025-08,5447.005748748779,345.67907452583313,16676.41258239746,502.1474361419678,-704.2104005813599,-1478.245496749878,-2017.2269344329834,5986.355304718018,93.51931512355804,5208.804607391357,1634.3623399734497
