split_month,n_train_months,n_test_months,n_train_who,n_test_who,n_year_constraints,year_constraint_years,RMSE_train,MAPE_train_%,RMSE_test,MAPE_test_%,RMSE_test_seasonal_naive,MAPE_test_seasonal_naive_%,epochs_used
2024-11,47,13,11,12,3,2021;2022;2023,5798.417185499005,56.72262010504746,9004.680133739475,78.25196344336521,13004.736796888645,63.822491032687665,8000
2024-12,48,12,12,11,4,2021;2022;2023;2024,3352.272373674021,22.152339750070386,4193.599153075543,47.19741683271085,13582.735465555998,69.47602272648508,8000
2025-01,49,11,13,10,4,2021;2022;2023;2024,3445.2890729564733,26.775218145356767,5122.378978578854,53.83275718841129,14245.188973825514,75.61724202041019,8000
2025-02,50,10,14,9,4,2021;2022;2023;2024,3435.343522407146,31.550899537810643,5598.812026216486,51.460367763822525,15005.998652390836,79.28102502764092,8000
2025-03,51,9,15,8,4,2021;2022;2023;2024,3405.577724150402,35.243391963550444,6054.602613373913,47.29046777417711,15899.267121474499,81.79848895365079,8000
2025-04,52,8,16,7,4,2021;2022;2023;2024,3333.2465614346675,39.022925701682105,6457.446140562936,39.45932240406984,16995.29933330306,90.08716197877548,8000
2025-05,53,7,17,6,4,2021;2022;2023;2024,3298.995422911274,39.94702338921498,6908.97009362511,35.308843053652,18348.386645697217,98.9988389132802,8000
2025-06,54,6,18,5,4,2021;2022;2023;2024,3281.308369986921,41.086907490171534,6835.082545253144,24.163524895378156,20094.268610725794,115.57829395402572,8000
2025-07,55,5,19,4,4,2021;2022;2023;2024,3255.3026917544034,40.02563570126671,6821.6894456719765,22.154191525570436,20718.814070790828,102.31357798417456,8000
2025-08,56,4,20,3,4,2021;2022;2023;2024,3224.9486867807013,39.311957039662275,8356.052436544302,33.330488271956455,21525.254942353953,94.27076892098616,8000
