lambda_year,lambda_reg,n_splits_used,val_RMSE_mean,val_RMSE_std,val_MAPE_%_mean,year_MAPE_%_mean,meets_year_tol,score_fallback
1.0,0.1,3,9246.705826234165,3388.729515901632,36.58595102513427,11.50034031050246,False,9252.455996389417
1.0,0.01,3,9419.081444996378,3577.669622101365,36.84818605162966,11.911768868548236,False,9425.037329430652
1.0,0.001,3,9436.850839240766,3596.6532361228224,36.87416095337906,11.952988112623963,False,9442.827333297078
1.0,0.0001,3,9438.636188437178,3598.5574653898925,36.87677924613653,11.957112185869342,False,9444.614744530112
1.0,1e-05,3,9438.810742612934,3598.7453782757516,36.87703617448332,11.957519864821961,False,9444.789502545345
1.0,1e-06,3,9438.828529866285,3598.7639295138374,36.87706269613424,11.957559949198638,False,9444.807309840884
0.03,0.1,3,10332.86930904929,4480.157764552104,32.85449258516711,28.474314863303523,False,10347.106466480942
0.03,0.01,3,11288.652889273997,4809.338956587339,36.343616124650474,28.15612230462636,False,11302.73095042631
0.03,0.001,3,11414.828774644317,4865.299484419225,36.76696478407523,28.126694297060798,False,11428.892121792847
0.03,0.0001,3,11427.82848486965,4871.202928037111,36.81014669289166,28.12377329003427,False,11441.890371514666
0.03,1e-05,3,11429.130839129788,4871.792657438007,36.81446385341963,28.123488516558258,False,11443.192583388067
0.03,1e-06,3,11429.257483324865,4871.852688128105,36.81488165584179,28.123470023988535,False,11443.31921833686
0.1,0.1,3,11731.757471011866,6023.1581236176535,39.33045483818944,21.628024288108495,False,11742.57148315592
0.3,0.1,3,12046.036884118055,3939.2432903695903,47.470360164274744,13.206618142167065,False,12052.64019318914
0.3,0.01,3,12412.115310501695,4046.5575518199557,48.757177674825805,13.033064314268799,False,12418.63184265883
0.3,0.001,3,12448.462192399114,4056.7557540711377,48.884704902638795,13.020763514926395,False,12454.972574156578
0.3,0.0001,3,12452.076604640484,4057.7535722888165,48.897371438277105,13.019527356210446,False,12458.586368318589
0.3,1e-05,3,12452.443716211646,4057.866558560274,48.89865497749786,13.019404854331038,False,12458.953418638812
0.3,1e-06,3,12452.479880122797,4057.8785050023694,48.89878253249365,13.019393396416142,False,12458.989576821004
0.1,0.01,3,13593.280585203442,7315.031388524574,45.32618090176905,21.268543134888578,False,13603.914856770885
0.1,0.001,3,13810.590150840764,7466.248758501214,46.01903843140422,21.228208392208042,False,13821.204255036868
0.1,0.0001,3,13832.558128138911,7481.536536182968,46.08905174230748,21.224149228973534,False,13843.170202753397
0.1,1e-05,3,13834.76173587857,7483.065326389294,46.09609806518346,21.22372862905812,False,13845.3736001931
0.1,1e-06,3,13834.980068455892,7483.217139797347,46.09679052277559,21.22368697248502,False,13845.591911942134
0.0,0.1,3,14000.801914563535,6935.803779050042,53.181934419003234,70.90722535037516,False,14036.255527238724
0.0,0.01,3,14116.690045250274,6408.5387091627135,54.60475702170928,70.61909483481811,False,14151.999592667684
0.0,0.001,3,14132.019606710368,6357.117907638961,54.75586506019288,70.56335830173539,False,14167.301285861236
0.0,0.0001,3,14133.56658768803,6352.033108958558,54.77094625760088,70.55775715129737,False,14168.84546626368
0.0,1e-05,3,14133.715644188838,6351.522473438289,54.772426857716084,70.5571961378859,False,14168.99424225778
0.0,1e-06,3,14133.731138466983,6351.472730879722,54.772582201040564,70.55713844073523,False,14169.00970768735
3.0,0.1,3,21294.908001198215,5046.179814368546,75.35473987040248,32.17129649225635,False,21310.993649444343
3.0,0.01,3,21466.118626265492,5052.544703048742,75.95148587550854,32.36553851762895,False,21482.301395524308
3.0,0.001,3,21483.273816763533,5053.102998652075,76.01131171604997,32.38490403484516,False,21499.466268780954
3.0,0.0001,3,21485.021231372288,5053.159654496658,76.01740954624202,32.386883012739396,False,21501.214672878657
3.0,1e-05,3,21485.18407868141,5053.15894230104,76.01798334244691,32.38707287293084,False,21501.377615117875
3.0,1e-06,3,21485.203611572015,5053.160303474189,76.01805191571917,32.38709752390058,False,21501.397160333963
10.0,0.1,3,27749.644643762014,3843.180138940834,95.84688071810172,40.19923439565306,False,27769.74426095984
10.0,0.01,3,27801.048576669313,3836.4298844373416,96.0829351662057,40.27287336957769,False,27821.1850133541
10.0,0.001,3,27806.237963355477,3835.747900657888,96.10673243104175,40.28028207933783,False,27826.378104395146
10.0,0.0001,3,27806.773401142444,3835.66393176654,96.1091538622718,40.2810170978181,False,27826.913909691353
10.0,1e-05,3,27806.83766418128,3835.6569233955047,96.10942978202822,40.28109448132803,False,27826.97821142194
10.0,1e-06,3,27806.841712360485,3835.657802663663,96.10946029330152,40.281102946653824,False,27826.982263833812
