split_month,g_fever,g_vaccine,intercept,s_cos1,s_cos2,s_sin1,s_sin2,wiki_views,x_tilde_lag1,x_tilde_lag12,x_tilde_lag2
2024-11,11830.388069152832,-3386.4636421203613,16524.002075195312,-4636.183738708496,-5507.966041564941,-8730.314254760742,-1823.965311050415,7675.255298614502,5790.650844573975,-5220.067501068115,4435.810565948486
2024-12,10254.11319732666,-2552.3014068603516,18294.418334960938,-2528.789281845093,-3391.6192054748535,-6813.832759857178,-658.7918400764465,-949.5896100997925,3457.7739238739014,-516.8414115905762,5108.277320861816
2025-01,8078.093528747559,-2076.3227939605713,18078.340530395508,-5390.795707702637,-4185.383319854736,-7102.750301361084,-1395.7810401916504,-200.1659870147705,1464.2078876495361,915.5583381652832,8368.339538574219
2025-02,7006.538391113281,-1682.6434135437012,17785.301208496094,-6348.10209274292,-3584.763526916504,-6324.9945640563965,-2022.4738121032715,260.8780264854431,1747.0028400421143,1929.885745048523,8784.354209899902
2025-03,6683.817386627197,-2018.6185836791992,17506.874084472656,-6870.6841468811035,-2199.0487575531006,-4892.407417297363,-1251.6740560531616,813.551664352417,1947.2638368606567,4045.632839202881,8859.508514404297
2025-04,6338.690280914307,-2952.6638984680176,17222.45216369629,-7325.5815505981445,-979.8200726509094,-3908.9512825012207,480.3653359413147,1194.0807104110718,3023.5443115234375,6137.6190185546875,8329.292297363281
2025-05,5482.410907745361,-3052.6113510131836,16985.258102416992,-7338.828086853027,-1740.77570438385,-4130.343914031982,1200.2935409545898,1452.5668621063232,3747.237205505371,6546.088695526123,8241.645812988281
2025-06,5898.2038497924805,-1155.87317943573,16798.267364501953,-4986.843585968018,-2356.963872909546,-4001.044273376465,250.07405877113342,1918.6906814575195,2758.188247680664,5385.190486907959,7428.239822387695
2025-07,7286.004066467285,-180.46292662620544,16682.437896728516,-2318.073272705078,-2246.5527057647705,-3626.9407272338867,-1261.8827819824219,1917.77503490448,2272.2537517547607,3986.492156982422,6231.9135665893555
2025-08,8127.172470092773,649.2281556129456,16558.643341064453,-888.9495134353638,-1014.5238637924194,-1624.3704557418823,-2296.6911792755127,2286.466598510742,2192.526340484619,4182.4517250061035,5193.360805511475
