split_month,g_fever,g_vaccine,intercept,mosq_total_monthly_views,s_cos1,s_cos2,s_sin1,s_sin2,wiki_views,x_tilde_lag1,x_tilde_lag12,x_tilde_lag2
2025-02,15537.608789904658,-18068.480137920542,-54327.619227882635,2362.3750318622406,-2457.612709379602,-1485.9969528402082,-7134.606433074026,-147.65730130897524,4423.949813880854,92.65192623188449,351.6265111529911,101.2160831866247
2025-03,15520.011795331806,-16258.23910482871,-49978.228383203794,2247.8749479963312,-2704.7464853084493,-2122.675455472812,-6703.4661701737505,-296.2777536981864,4018.5581103884774,102.59267219852347,336.97446813578273,112.26896365237391
2025-04,14877.831630078359,-14643.610608620276,-48427.61403073864,2303.3834802179967,-2985.824533327538,-2255.7050002683072,-6239.6560933134015,-580.8220690840391,3760.6182120863814,111.69927798159594,336.3052149135053,116.88314455917927
2025-05,14241.560104015702,-13346.916208435374,-49776.58129826798,2692.1733650160563,-3131.4454047640706,-2227.953901088386,-6068.83351561929,-553.5572647548435,3507.8097344883386,115.65402727006065,340.48122094953095,124.31346417368889
2025-06,14501.445503554465,-10245.070983078069,-52226.37870190549,2334.655416426848,-2641.381966798137,-2505.067104948942,-5750.184538443837,-931.8235095630779,3984.973481050488,83.9186058165265,331.8937419443663,138.65349475846682
2025-07,19904.09926058068,-9302.36597611091,-51102.7569909672,2263.194883430948,-1306.2076872794291,-2258.034466066612,-5188.634033165678,-1982.2122538757883,3844.4175066399334,49.44671379032712,309.9668348272709,129.58405532214547
2025-08,25532.131051176457,-7326.460987540585,-53037.91185540031,2920.7188853683565,-774.91264842084,-813.1936149068069,-2725.256789618249,-2504.287273859162,3175.0929670454466,48.5661669690376,339.4237993214184,111.27899526571105
2025-09,26132.07845808376,-7011.563237030248,-57134.45921254328,3343.4993971240833,-1392.0556089144784,-112.83687915753872,-1047.560069959059,-2089.8512393012543,3066.3740524595573,79.58195924904811,370.7735369084246,106.70115421473446
2025-10,23778.687287248955,-5620.991744779704,-59069.15732094835,3488.883661240087,-2795.4639131187523,-504.5400034191608,-688.1370768378233,-1641.434780703367,3005.6594927632595,115.36452880755678,361.6141388584276,151.14522836429094
2025-11,24582.68695076871,-6408.413433322,-54911.30172657219,3466.934751910314,-1644.6992948902698,-56.62356292636398,-1600.5276762110293,-2274.9688905249905,2694.1288250122607,114.89030085956115,339.33067200481764,132.72484719413129
2025-12,23001.93213406272,-5979.638626107269,-55933.471388944105,3597.8570820994237,-1771.4361193271711,-102.39354696334901,-1770.7521602578308,-2246.826784794732,2696.7111397139697,116.23196426923411,338.8527747076019,145.2114902437024
