split_month,test_end_month,test_horizon_months,n_train_months,n_test_months,n_train_who,n_test_who,n_year_constraints,year_constraint_years,RMSE_train,MSE_train,MAPE_train_%,RMSE_test,MSE_test,MAPE_test_%,RMSE_test_seasonal_naive,MSE_test_seasonal_naive,MAPE_test_seasonal_naive_%,epochs_used
2025-02,2025-04,2,50,2,14,2,4,2021;2022;2023;2024,3203.752389458325,10264029.372959927,30.9557057679,3135.226387360249,9829644.5,100.0,1539.2472186104478,2369282.0,41.459545698669956,8000
2025-03,2025-05,2,51,2,15,2,4,2021;2022;2023;2024,3254.7894261110882,10593654.208324546,35.036643450971354,2989.7022993014366,8938319.838448297,93.19850872247765,1075.5940219246293,1156902.5,30.197439074762496,8000
2025-04,2025-06,2,52,2,16,2,4,2021;2022;2023;2024,3244.6287978817863,10527616.036043806,39.465733829561444,1760.5327105759714,3099475.425007977,34.92342793165657,1221.3191638552144,1491620.5,26.359332040649885,8000
2025-05,2025-07,2,53,2,17,2,4,2021;2022;2023;2024,3218.0487473126677,10355837.74008063,42.01547454904603,3107.258629280591,9655056.189238695,23.81029953204279,12306.557784368462,151451364.5,92.36936077149149,8000
2025-06,2025-08,2,54,2,18,2,4,2021;2022;2023;2024,3148.2496368061397,9911475.77564999,41.37612811147536,5967.226132065147,35607787.711201176,42.85809548001042,17732.57389664569,314444177.0,147.5395815035851,8000
2025-07,2025-09,2,55,2,19,2,4,2021;2022;2023;2024,3171.917805788449,10061062.566677809,41.10043656975431,5487.81415925366,30116104.246504962,33.6352112561262,20451.924224874296,418281204.5,123.24333944800907,8000
2025-08,2025-10,2,56,2,20,2,4,2021;2022;2023;2024,3199.7805897035523,10238595.822243612,41.66489972874515,2292.540967077079,5255744.08572671,11.037105133268037,25720.74804510942,661556880.0,122.9642142608479,8000
2025-09,2025-11,2,57,2,21,2,4,2021;2022;2023;2024,3175.961359511493,10086730.557110092,40.56220876240062,6429.069645748987,41332936.509890996,21.852191467325877,20982.30941769757,440257308.5,81.38381652034006,8000
2025-10,2025-12,2,58,2,22,2,4,2021;2022;2023;2024,3228.1022924790564,10420644.41070854,39.69289199490861,8723.233541590153,76094803.42112347,62.77220885284627,9036.825797811973,81664220.5,83.56994018178003,8000
2025-11,2026-01,2,59,2,23,2,4,2021;2022;2023;2024,3609.313176103555,13027141.603194734,37.86369385454862,3617.2716414811775,13084654.128263934,74.46669497948919,6991.7356929449215,48884368.0,81.43725614015545,8000
2025-12,2026-02,2,60,2,24,2,4,2021;2022;2023;2024,3634.6502184797155,13210682.210694643,38.432160348482356,3291.98245742592,10837148.5,100.0,988.864247508221,977852.5,29.34337233637676,8000
