split_month,test_end_month,test_horizon_months,n_train_months,n_test_months,n_train_who,n_test_who,n_year_constraints,year_constraint_years,RMSE_train,MSE_train,MAPE_train_%,RMSE_test,MSE_test,MAPE_test_%,RMSE_test_seasonal_naive,MSE_test_seasonal_naive,MAPE_test_seasonal_naive_%,epochs_used
2025-02,2025-04,2,50,2,14,2,4,2021;2022;2023;2024,2703.797585837102,7310521.385178541,15.427350395730777,244.7658658005162,59910.3290610763,5.939835156601189,1539.2489699865523,2369287.391604662,41.45958944956261,8000
2025-03,2025-05,2,51,2,15,2,4,2021;2022;2023;2024,2721.5452991175653,7406808.815148919,14.906723359385923,587.6155771668305,345292.0665291073,14.255166329319827,1075.5932286223372,1156900.7934582233,30.197428668737153,8000
2025-04,2025-06,2,52,2,16,2,4,2021;2022;2023;2024,2690.962619540399,7241279.819763727,14.413642141316107,931.840315670515,868326.373908925,17.832566858243478,1221.3172973973724,1491615.9409220219,26.35929369312039,8000
2025-05,2025-07,2,53,2,17,2,4,2021;2022;2023;2024,2759.4088378267725,7614337.134276499,14.458675294043339,3427.6475197686755,11748767.519776354,25.197686253444335,12306.561817009637,151451463.75587952,92.36937031027871,8000
2025-06,2025-08,2,54,2,18,2,4,2021;2022;2023;2024,2734.2607725523235,7476181.972318428,13.773206181548769,7533.212265864328,56749287.04256877,55.19666120810094,17732.579754839764,314444384.7617531,147.53963042465915,8000
2025-07,2025-09,2,55,2,19,2,4,2021;2022;2023;2024,2716.442520692801,7379059.968227857,14.141912296835226,6114.25100869894,37384065.397376,33.22254808444941,20451.92034874128,418281045.9512577,123.24332876912145,8000
2025-08,2025-10,2,56,2,20,2,4,2021;2022;2023;2024,2576.8664489774424,6640240.695865614,13.918844854942192,5896.498132367828,34768690.22501728,26.38502148886194,25720.751567014246,661557061.1720657,122.9642175775059,8000
2025-09,2025-11,2,57,2,21,2,4,2021;2022;2023;2024,2398.1853693685916,5751293.065853568,13.429834389025036,2814.02159322959,7918717.527162401,8.931411839251869,20982.321941594466,440257834.0607166,81.38387301836129,8000
2025-10,2025-12,2,58,2,22,2,4,2021;2022;2023;2024,2264.0499596450454,5125922.219768732,13.140510922097516,2447.429089820247,5989909.149698364,21.435894537820833,9036.828094731425,81664262.01372719,83.56993629427708,8000
2025-11,2026-01,2,59,2,23,2,4,2021;2022;2023;2024,2293.2414909464314,5258956.5357982125,13.199876060407492,1966.2450583902066,3866119.6296439073,22.012631027530297,6991.732788288039,48884327.38282204,81.43720267782966,8000
2025-12,2026-02,2,60,2,24,2,4,2021;2022;2023;2024,2599.7459163077233,6758678.829358683,14.02827175296983,450.53077724964726,202977.98124917125,12.736473097492246,988.8627172844554,977849.4736351967,29.34332860739267,8000
2026-01,2026-03,2,61,2,25,1,4,2021;2022;2023;2024,2565.43518153825,6581457.670674194,13.732722554216995,583.5391997387001,340517.9976316825,19.32889035239152,786.9990234375,619367.4628915787,26.068202167522358,8000
2026-02,2026-04,2,62,2,26,0,4,2021;2022;2023;2024,2504.2493628504794,6271264.871337033,13.519069877067254,,,,,,,8000
