Month,Total_Views
2021-01,9964
2021-02,9643
2021-03,9843
2021-04,8474
2021-05,8913
2021-06,12421
2021-07,21002
2021-08,35725
2021-09,55426
2021-10,63200
2021-11,33721
2021-12,15944
2022-01,10764
2022-02,8455
2022-03,9043
2022-04,9801
2022-05,10379
2022-06,15540
2022-07,23694
2022-08,33077
2022-09,52328
2022-10,69523
2022-11,64971
2022-12,19754
2023-01,13050
2023-02,14180
2023-03,13311
2023-04,8880
2023-05,16647
2023-06,25355
2023-07,58097
2023-08,70748
2023-09,136325
2023-10,77756
2023-11,53546
2023-12,18922
2024-01,14767
2024-02,13121
2024-03,11445
2024-04,8378
2024-05,12544
2024-06,14420
2024-07,27621
2024-08,20695
2024-09,23539
2024-10,23608
2024-11,18845
2024-12,10022
2025-01,8879
2025-02,5310
2025-03,4672
2025-04,3562
2025-05,6111
2025-06,5859
2025-07,6786
2025-08,8678
2025-09,4413
2025-10,3994
2025-11,3049
2025-12,1955
