date,month,raw_total_pageviews,weighted_total_pageviews
1/1/2021,2021-01,9616,3040.103614
2/1/2021,2021-02,8355,2686.7824
3/1/2021,2021-03,9184,3119.861666
4/1/2021,2021-04,8341,2941.980784
5/1/2021,2021-05,8714,2194.970521
6/1/2021,2021-06,12159,2964.377006
7/1/2021,2021-07,20673,4676.374058
8/1/2021,2021-08,35395,10110.89781
9/1/2021,2021-09,54917,20610.84289
10/1/2021,2021-10,63158,27960.67955
11/1/2021,2021-11,33716,13025.31979
12/1/2021,2021-12,15646,4919.163883
1/1/2022,2022-01,10477,2894.005241
2/1/2022,2022-02,8223,2348.052953
3/1/2022,2022-03,8889,2620.528988
4/1/2022,2022-04,9695,2751.552135
5/1/2022,2022-05,9882,1977.851731
6/1/2022,2022-06,15126,3168.073807
7/1/2022,2022-07,22704,4303.981221
8/1/2022,2022-08,32439,6327.475052
9/1/2022,2022-09,51843,12471.71394
10/1/2022,2022-10,69293,18838.82575
11/1/2022,2022-11,64890,16769.29818
12/1/2022,2022-12,19563,4401.671798
1/1/2023,2023-01,12847,3022.715799
2/1/2023,2023-02,13659,2955.302981
3/1/2023,2023-03,13035,2595.696801
4/1/2023,2023-04,8748,1723.706409
5/1/2023,2023-05,16368,2940.019216
6/1/2023,2023-06,25167,3127.587837
7/1/2023,2023-07,57637,7250.704662
8/1/2023,2023-08,70182,10864.57626
9/1/2023,2023-09,135905,18788.11617
10/1/2023,2023-10,77638,13455.83535
11/1/2023,2023-11,53142,7861.36445
12/1/2023,2023-12,18639,3277.744732
1/1/2024,2024-01,14562,2196.038105
2/1/2024,2024-02,12968,2155.991702
3/1/2024,2024-03,11346,1636.64756
4/1/2024,2024-04,8420,1219.369036
5/1/2024,2024-05,12310,1468.241293
6/1/2024,2024-06,13135,1348.054154
7/1/2024,2024-07,21236,2188.148925
8/1/2024,2024-08,19934,2145.990829
9/1/2024,2024-09,22337,2718.039524
10/1/2024,2024-10,23191,2790.951305
11/1/2024,2024-11,18257,2236.049678
12/1/2024,2024-12,9269,1121.130691
1/1/2025,2025-01,8211,1014.276122
2/1/2025,2025-02,4998,691.7524839
3/1/2025,2025-03,4355,606.2547221
4/1/2025,2025-04,3541,514.3274375
5/1/2025,2025-05,5858,632.2921716
6/1/2025,2025-06,5285,607.8112239
7/1/2025,2025-07,6554,795.9199694
8/1/2025,2025-08,8445,1014.505623
9/1/2025,2025-09,4300,604.2197838
10/1/2025,2025-10,3945,550.5025658
11/1/2025,2025-11,2950,401.0550278
12/1/2025,2025-12,1795,263.7850202
1/1/2026,2026-01,1197,168.0388689
1/1/2026,2026-01,1201,168.1834261
2/1/2026,2026-02,831,129.0075336
